Country,Year,0
Australia,1950,1
Australia,1951,1
Australia,1952,1
Australia,1953,1
Australia,1954,1
Australia,1955,1
Australia,1956,1
Australia,1957,1
Australia,1958,1
Australia,1959,1
Australia,1960,1
Australia,1961,1
Australia,1962,1
Australia,1963,1
Australia,1964,1
Australia,1965,1
Australia,1966,1
Australia,1967,1
Australia,1968,1
Australia,1969,1
Australia,1970,1
Australia,1971,1
Australia,1972,1
Australia,1973,1
Australia,1974,1
Australia,1975,1
Australia,1976,1
Australia,1977,1
Australia,1978,1
Australia,1979,1
Australia,1980,1
Australia,1981,1
Australia,1985,1
Australia,1986,1
Australia,1987,1
Australia,1988,1
Australia,1989,1
Australia,1990,1
Australia,1991,1
Australia,1992,1
Australia,1993,1
Australia,1994,1
Australia,1995,1
Australia,1996,1
Australia,1997,1
Australia,1998,1
Australia,1999,1
Australia,2000,1
Australia,2001,1
Australia,2002,1
Australia,2003,1
Australia,2004,1
Australia,2005,1
Australia,2006,1
Austria,1959,1
Austria,1960,1
Austria,1961,1
Austria,1962,1
Austria,1963,1
Austria,1964,1
Austria,1965,1
Austria,1966,1
Austria,1967,1
Austria,1968,1
Austria,1969,1
Austria,1970,1
Austria,1971,1
Austria,1972,1
Austria,1973,1
Austria,1974,1
Austria,1975,1
Austria,1976,1
Austria,1977,1
Austria,1978,1
Austria,1979,1
Austria,1980,1
Austria,1981,1
Austria,1985,1
Austria,1986,1
Austria,1987,1
Austria,1988,1
Austria,1989,1
Austria,1990,1
Austria,1991,1
Austria,1992,1
Austria,1993,1
Austria,1994,1
Austria,1995,1
Austria,1996,1
Austria,1997,1
Austria,1998,1
Austria,1999,1
Austria,2000,1
Austria,2001,1
Austria,2002,1
Austria,2003,1
Austria,2004,1
Austria,2005,1
Austria,2006,1
Belgium,1956,1
Belgium,1957,1
Belgium,1958,1
Belgium,1959,1
Belgium,1960,1
Belgium,1961,1
Belgium,1962,1
Belgium,1963,1
Belgium,1964,1
Belgium,1965,1
Belgium,1966,1
Belgium,1967,1
Belgium,1968,1
Belgium,1969,1
Belgium,1970,1
Belgium,1971,1
Belgium,1972,1
Belgium,1973,1
Belgium,1974,1
Belgium,1975,1
Belgium,1976,1
Belgium,1977,1
Belgium,1978,1
Belgium,1979,1
Belgium,1980,1
Belgium,1981,1
Belgium,1985,1
Belgium,1986,1
Belgium,1987,1
Belgium,1988,1
Belgium,1989,1
Belgium,1990,1
Belgium,1991,1
Belgium,1992,1
Belgium,1993,1
Belgium,1994,1
Belgium,1995,1
Belgium,1996,1
Belgium,1997,1
Belgium,1998,1
Belgium,1999,1
Belgium,2000,1
Belgium,2001,1
Belgium,2002,1
Belgium,2003,1
Belgium,2004,1
Belgium,2005,1
Belgium,2006,1
Brazil,1960,1
Brazil,1961,1
Brazil,1962,1
Brazil,1963,1
Brazil,1964,1
Brazil,1965,1
Brazil,1966,1
Brazil,1967,1
Brazil,1968,1
Brazil,1969,1
Canada,1950,1
Canada,1951,1
Canada,1952,1
Canada,1953,1
Canada,1954,1
Canada,1955,1
Canada,1956,1
Canada,1957,1
Canada,1958,1
Canada,1959,1
Canada,1960,1
Canada,1961,1
Canada,1962,1
Canada,1963,1
Canada,1964,1
Canada,1965,1
Canada,1966,1
Canada,1967,1
Canada,1968,1
Canada,1969,1
Canada,1970,1
Canada,1971,1
Canada,1972,1
Canada,1973,1
Canada,1974,1
Canada,1975,1
Canada,1976,1
Canada,1977,1
Canada,1978,1
Canada,1979,1
Canada,1980,1
Canada,1981,1
Canada,1985,1
Canada,1986,1
Canada,1987,1
Canada,1988,1
Canada,1989,1
Canada,1990,1
Canada,1991,1
Canada,1992,1
Canada,1993,1
Canada,1994,1
Canada,1995,1
Canada,1996,1
Canada,1997,1
Canada,1998,1
Canada,1999,1
Canada,2000,1
Canada,2001,1
Canada,2002,1
Canada,2003,1
Canada,2004,1
Canada,2005,1
Canada,2006,1
Chile,1960,1
Chile,1961,1
Chile,1962,1
Chile,1963,1
Chile,1964,1
Chile,1965,1
Chile,1966,1
Chile,1967,1
Chile,1968,1
Chile,1969,1
Chile,1970,1
Chile,1982,1
Chile,1983,1
Chile,1984,1
Chile,2007,1
Chile,2008,1
Chile,2009,1
Chile,2010,1
Chile,2011,1
China (People's Republic of),2007,1
China (People's Republic of),2008,1
China (People's Republic of),2009,1
China (People's Republic of),2010,1
China (People's Republic of),2011,1
China (People's Republic of),2012,1
China (People's Republic of),2013,1
China (People's Republic of),2014,1
China (People's Republic of),2015,1
China (People's Republic of),2016,1
China (People's Republic of),2017,1
China (People's Republic of),2018,1
Denmark,1966,1
Denmark,1967,1
Denmark,1968,1
Denmark,1969,1
Denmark,1970,1
Denmark,1971,1
Denmark,1972,1
Denmark,1973,1
Denmark,1974,1
Denmark,1975,1
Denmark,1976,1
Denmark,1977,1
Denmark,1978,1
Denmark,1979,1
Denmark,1980,1
Denmark,1981,1
Denmark,1985,1
Denmark,1986,1
Denmark,1987,1
Denmark,1988,1
Denmark,1989,1
Denmark,1990,1
Denmark,1991,1
Denmark,1992,1
Denmark,1993,1
Denmark,1994,1
Denmark,1995,1
Denmark,1996,1
Denmark,1997,1
Denmark,1998,1
Denmark,1999,1
Denmark,2000,1
Denmark,2001,1
Denmark,2002,1
Denmark,2003,1
Denmark,2004,1
Denmark,2005,1
Denmark,2006,1
Finland,1956,1
Finland,1957,1
Finland,1958,1
Finland,1959,1
Finland,1960,1
Finland,1961,1
Finland,1962,1
Finland,1963,1
Finland,1964,1
Finland,1965,1
Finland,1966,1
Finland,1967,1
Finland,1968,1
Finland,1969,1
Finland,1970,1
Finland,1971,1
Finland,1972,1
Finland,1973,1
Finland,1974,1
Finland,1975,1
Finland,1976,1
Finland,1977,1
Finland,1978,1
Finland,1979,1
Finland,1980,1
Finland,1981,1
Finland,1985,1
Finland,1986,1
Finland,1987,1
Finland,1988,1
Finland,1989,1
Finland,1990,1
Finland,1991,1
Finland,1992,1
Finland,1993,1
Finland,1994,1
Finland,1995,1
Finland,1996,1
Finland,1997,1
Finland,1998,1
Finland,1999,1
Finland,2000,1
Finland,2001,1
Finland,2002,1
Finland,2003,1
Finland,2004,1
Finland,2005,1
Finland,2006,1
France,1951,1
France,1952,1
France,1953,1
France,1954,1
France,1955,1
France,1956,1
France,1957,1
France,1958,1
France,1959,1
France,1960,1
France,1961,1
France,1962,1
France,1963,1
France,1964,1
France,1965,1
France,1966,1
France,1967,1
France,1968,1
France,1969,1
France,1970,1
France,1971,1
France,1972,1
France,1973,1
France,1974,1
France,1975,1
France,1976,1
France,1977,1
France,1978,1
France,1979,1
France,1980,1
France,1981,1
France,1985,1
France,1986,1
France,1987,1
France,1988,1
France,1989,1
France,1990,1
France,1991,1
France,1992,1
France,1993,1
France,1994,1
France,1995,1
France,1996,1
France,1997,1
France,1998,1
France,1999,1
France,2000,1
France,2001,1
France,2002,1
France,2003,1
France,2004,1
France,2005,1
France,2006,1
Germany,1956,1
Germany,1957,1
Germany,1958,1
Germany,1959,1
Germany,1960,1
Germany,1961,1
Germany,1962,1
Germany,1963,1
Germany,1964,1
