Country,Year,0
Australia,1950,1
Australia,1951,1
Australia,1952,1
Australia,1953,1
Australia,1954,1
Australia,1955,1
Australia,1956,1
Australia,1957,1
Australia,1958,1
Australia,1959,1
Australia,1960,1
Australia,1961,1
Australia,1962,1
Australia,1963,1
Australia,1964,1
Australia,1965,1
Australia,1966,1
Australia,1967,1
Australia,1968,1
Australia,1969,1
Australia,1970,1
Australia,1971,1
Austria,1959,1
Austria,1960,1
Austria,1961,1
Austria,1962,1
Austria,1963,1
Austria,1964,1
Austria,1965,1
Austria,1966,1
Austria,1967,1
Austria,1968,1
Austria,1969,1
Belgium,1956,1
Belgium,1957,1
Belgium,1958,1
Belgium,1959,1
Belgium,1960,1
Belgium,1961,1
Belgium,1962,1
Belgium,1963,1
Belgium,1964,1
Belgium,1965,1
Belgium,1966,1
Belgium,1967,1
Belgium,1968,1
Belgium,1969,1
Brazil,1960,1
Brazil,1961,1
Brazil,1962,1
Brazil,1963,1
Brazil,1964,1
Brazil,1965,1
Brazil,1966,1
Brazil,1967,1
Brazil,1968,1
Brazil,1969,1
Canada,1950,1
Canada,1951,1
Canada,1952,1
Canada,1953,1
Canada,1954,1
Canada,1955,1
Canada,1956,1
Canada,1957,1
Canada,1958,1
Canada,1959,1
Canada,1960,1
Canada,1961,1
Canada,1962,1
Canada,1963,1
Canada,1964,1
Canada,1965,1
Canada,1966,1
Canada,1967,1
Canada,1968,1
Canada,1969,1
Chile,1960,1
Chile,1961,1
Chile,1962,1
Chile,1963,1
Chile,1964,1
Chile,1965,1
Chile,1966,1
Chile,1967,1
Chile,1968,1
Chile,1969,1
Chile,1970,1
Chile,1971,1
Chile,1972,1
Chile,1973,1
Chile,1974,1
Chile,1975,1
Chile,1976,1
Chile,1977,1
Chile,1978,1
Chile,1979,1
Chile,1980,1
Chile,1981,1
Chile,1982,1
Chile,1983,1
Chile,1984,1
Chile,1985,1
Chile,1986,1
Chile,1987,1
Chile,1988,1
Chile,1989,1
Chile,1990,1
Chile,1991,1
Chile,1992,1
Chile,1993,1
Chile,1994,1
Chile,1995,1
Chile,1996,1
Czech Republic,1970,1
Czech Republic,1971,1
Czech Republic,1972,1
Czech Republic,1973,1
Czech Republic,1974,1
Czech Republic,1975,1
Czech Republic,1976,1
Czech Republic,1977,1
Czech Republic,1978,1
Czech Republic,1979,1
Czech Republic,1980,1
Czech Republic,1981,1
Czech Republic,1982,1
Czech Republic,1983,1
Czech Republic,1984,1
Czech Republic,1985,1
Czech Republic,1986,1
Czech Republic,1987,1
Czech Republic,1988,1
Czech Republic,1989,1
Czech Republic,1990,1
Czech Republic,1991,1
Czech Republic,1992,1
Denmark,1966,1
Denmark,1967,1
Denmark,1968,1
Denmark,1969,1
Estonia,1970,1
Estonia,1971,1
Estonia,1972,1
Estonia,1973,1
Estonia,1974,1
Estonia,1975,1
Estonia,1976,1
Estonia,1977,1
Estonia,1978,1
Estonia,1979,1
Estonia,1980,1
Estonia,1981,1
Estonia,1982,1
Estonia,1983,1
Estonia,1984,1
Estonia,1985,1
Estonia,1986,1
Estonia,1987,1
Estonia,1988,1
Estonia,1989,1
Estonia,1990,1
Estonia,1991,1
Estonia,1992,1
Estonia,1993,1
Estonia,1994,1
Estonia,1995,1
Estonia,1996,1
Finland,1956,1
Finland,1957,1
Finland,1958,1
Finland,1959,1
Finland,1960,1
Finland,1961,1
Finland,1962,1
Finland,1963,1
Finland,1964,1
Finland,1965,1
Finland,1966,1
Finland,1967,1
Finland,1968,1
Finland,1969,1
France,1951,1
France,1952,1
France,1953,1
France,1954,1
France,1955,1
France,1956,1
France,1957,1
France,1958,1
France,1959,1
France,1960,1
France,1961,1
France,1962,1
France,1963,1
France,1964,1
France,1965,1
France,1966,1
France,1967,1
France,1968,1
France,1969,1
Germany,1956,1
Germany,1957,1
Germany,1958,1
Germany,1959,1
Germany,1960,1
Germany,1961,1
Germany,1962,1
Germany,1963,1
Germany,1964,1
Germany,1965,1
Germany,1966,1
Germany,1967,1
Germany,1968,1
Germany,1969,1
Greece,1956,1
Greece,1957,1
Greece,1958,1
Greece,1959,1
Greece,1960,1
Greece,1961,1
Greece,1962,1
Greece,1963,1
Greece,1964,1
Greece,1965,1
Greece,1966,1
Greece,1967,1
Greece,1968,1
Greece,1969,1
Hungary,1981,1
Hungary,1982,1
Hungary,1983,1
Hungary,1984,1
Hungary,1985,1
Hungary,1986,1
Hungary,1987,1
Hungary,1988,1
Hungary,1989,1
Hungary,1990,1
Hungary,1991,1
Hungary,1992,1
Iceland,1956,1
Iceland,1957,1
Iceland,1958,1
Iceland,1959,1
Iceland,1960,1
Iceland,1961,1
Iceland,1962,1
Iceland,1963,1
Iceland,1964,1
Iceland,1965,1
Iceland,1966,1
Iceland,1967,1
Iceland,1968,1
Iceland,1969,1
India,1951,1
India,1952,1
India,1953,1
India,1954,1
India,1955,1
India,1956,1
India,1957,1
India,1958,1
India,1959,1
India,1960,1
India,1961,1
India,1962,1
India,1963,1
India,1964,1
India,1965,1
India,1966,1
India,1967,1
India,1968,1
India,1969,1
Israel,1960,1
Israel,1961,1
Israel,1962,1
Israel,1963,1
Israel,1964,1
Israel,1965,1
Israel,1966,1
Israel,1967,1
Israel,1968,1
Israel,1969,1
Israel,1970,1
Israel,1971,1
Israel,1972,1
Israel,1973,1
Israel,1974,1
Israel,1975,1
Israel,1976,1
Israel,1977,1
Israel,1978,1
Israel,1979,1
Israel,1980,1
Israel,1981,1
Israel,1982,1
Israel,1983,1
Israel,1984,1
Israel,1985,1
Israel,1986,1
Israel,1987,1
Israel,1988,1
Israel,1989,1
Israel,1990,1
Israel,1991,1
Israel,1992,1
Israel,1993,1
Israel,1994,1
Israel,1995,1
Israel,1996,1
Italy,1956,1
Italy,1957,1
Italy,1958,1
Italy,1959,1
Italy,1960,1
Italy,1961,1
Italy,1962,1
Italy,1963,1
Italy,1964,1
Italy,1965,1
Italy,1966,1
Italy,1967,1
Italy,1968,1
Italy,1969,1
Japan,1956,1
Japan,1957,1
Japan,1958,1
Japan,1959,1
Japan,1960,1
Japan,1961,1
Japan,1962,1
Japan,1963,1
Japan,1964,1
Japan,1965,1
Japan,1966,1
Japan,1967,1
Japan,1968,1
Japan,1969,1
Korea,1953,1
Korea,1954,1
Korea,1955,1
Korea,1956,1
Korea,1957,1
Korea,1958,1
Korea,1959,1
Korea,1960,1
Korea,1961,1
Korea,1962,1
Korea,1963,1
Korea,1964,1
Korea,1965,1
Korea,1966,1
Korea,1967,1
Korea,1968,1
Korea,1969,1
Latvia,1982,1
Latvia,1983,1
Latvia,1984,1
Latvia,1992,1
Latvia,1993,1
Latvia,1994,1
Latvia,1995,1
Latvia,1996,1
Lithuania,1982,1
Lithuania,1983,1
Lithuania,1984,1
Lithuania,1992,1
Lithuania,1993,1
Lithuania,1994,1
Lithuania,1995,1
Lithuania,1996,1
Lithuania,1997,1
Lithuania,1998,1
Lithuania,1999,1
Lithuania,2000,1
Lithuania,2001,1
Lithuania,2002,1
Lithuania,2003,1
Lithuania,2004,1
Lithuania,2005,1
Lithuania,2006,1
