Country,Year,0
Australia,1950,1
Australia,1962,1
Australia,1963,1
Belgium,2009,1
Belgium,2010,1
Canada,1953,1
Canada,1954,1
China (People's Republic of),1998,1
China (People's Republic of),2000,1
China (People's Republic of),2002,1
China (People's Republic of),2003,1
China (People's Republic of),2009,1
China (People's Republic of),2010,1
Estonia,2009,1
Estonia,2010,1
Estonia,2014,1
Estonia,2016,1
Finland,2009,1
Finland,2010,1
Finland,2015,1
Finland,2016,1
Germany,1986,1
Germany,1987,1
Greece,1962,1
Greece,1963,1
Greece,2013,1
Greece,2017,1
Hungary,2014,1
Hungary,2016,1
India,1969,1
India,1970,1
India,1976,1
India,1977,1
Ireland,2009,1
Ireland,2011,1
Ireland,2015,1
Ireland,2016,1
Israel,2004,1
Israel,2005,1
Israel,2015,1
Israel,2017,1
Italy,1959,1
Italy,1960,1
Italy,2016,1
Italy,2017,1
Japan,1958,1
Japan,1959,1
Japan,1995,1
Japan,1996,1
Japan,1999,1
Japan,2006,1
Japan,2009,1
Japan,2013,1
Japan,2016,1
Japan,2017,1
Korea,1958,1
Korea,1959,1
Latvia,2010,1
Latvia,2011,1
Latvia,2013,1
Latvia,2014,1
Lithuania,2003,1
Lithuania,2004,1
Lithuania,2015,1
Lithuania,2016,1
Luxembourg,1987,1
Luxembourg,1988,1
Netherlands,1987,1
Netherlands,1988,1
New Zealand,1999,1
New Zealand,2000,1
Poland,2014,1
Poland,2017,1
Portugal,2009,1
Portugal,2010,1
Portugal,2014,1
Portugal,2015,1
Slovak Republic,2014,1
Slovak Republic,2017,1
Slovenia,2015,1
Slovenia,2017,1
South Africa,2004,1
South Africa,2005,1
Spain,2009,1
Spain,2010,1
Spain,2014,1
Spain,2017,1
Sweden,1998,1
Sweden,1999,1
Sweden,2009,1
Sweden,2010,1
Sweden,2013,1
Sweden,2016,1
Switzerland,1959,1
Switzerland,1960,1
Switzerland,2009,1
Switzerland,2010,1
Switzerland,2012,1
Switzerland,2017,1
United States,2009,1
United States,2010,1
