Country,Year,0
China (People's Republic of),1980,1
China (People's Republic of),1981,1
China (People's Republic of),1982,1
China (People's Republic of),1983,1
China (People's Republic of),1984,1
China (People's Republic of),1985,1
China (People's Republic of),1986,1
China (People's Republic of),1987,1
China (People's Republic of),1988,1
China (People's Republic of),1989,1
China (People's Republic of),1990,1
China (People's Republic of),1991,1
China (People's Republic of),1992,1
China (People's Republic of),1993,1
China (People's Republic of),1994,1
China (People's Republic of),1995,1
China (People's Republic of),1996,1
Luxembourg,1980,1
Luxembourg,1981,1
Luxembourg,1982,1
Luxembourg,1983,1
Luxembourg,1984,1
Luxembourg,1985,1
Luxembourg,1986,1
Luxembourg,1987,1
Luxembourg,1988,1
Luxembourg,1989,1
Luxembourg,1990,1
Luxembourg,1991,1
Luxembourg,1992,1
Luxembourg,1993,1
Luxembourg,1994,1
Russia,1991,1
