Country,Year,0
Australia,1950,1
Australia,1951,1
Australia,1952,1
Australia,1953,1
Australia,1954,1
Australia,1955,1
Australia,1956,1
Australia,1957,1
Australia,1958,1
Australia,1959,1
Australia,1960,1
Australia,1961,1
Australia,1962,1
Australia,1963,1
Australia,1964,1
Australia,1965,1
Australia,1966,1
Australia,1967,1
Australia,1968,1
Australia,1969,1
Australia,1970,1
Australia,1971,1
Australia,1972,1
Australia,1973,1
Australia,1974,1
Australia,1975,1
Australia,1976,1
Australia,1977,1
Australia,1978,1
Australia,1979,1
Australia,1980,1
Australia,1981,1
Australia,1982,1
Australia,1983,1
Australia,1984,1
Australia,1985,1
Australia,1986,1
Australia,1987,1
Australia,1988,1
Australia,1989,1
Australia,1990,1
Australia,1991,1
Australia,1992,1
Australia,1993,1
Australia,1994,1
Australia,2018,1
Austria,1959,1
Austria,1960,1
Austria,1961,1
Austria,1962,1
Austria,1963,1
Austria,1964,1
Austria,1965,1
Austria,1966,1
Austria,1967,1
Austria,1968,1
Austria,1969,1
Austria,1970,1
Austria,1971,1
Austria,1972,1
Austria,1973,1
Austria,1974,1
Austria,1975,1
Austria,1976,1
Austria,1977,1
Austria,1978,1
Austria,1979,1
Austria,1980,1
Austria,1981,1
Austria,1982,1
Austria,1983,1
Austria,1984,1
Austria,1985,1
Austria,1986,1
Austria,1987,1
Austria,1988,1
Austria,1989,1
Austria,1990,1
Austria,1991,1
Austria,1992,1
Austria,1993,1
Austria,1994,1
Austria,2018,1
Belgium,1956,1
Belgium,1957,1
Belgium,1958,1
Belgium,1959,1
Belgium,1960,1
Belgium,1961,1
Belgium,1962,1
Belgium,1963,1
Belgium,1964,1
Belgium,1965,1
Belgium,1966,1
Belgium,1967,1
Belgium,1968,1
Belgium,1969,1
Belgium,1970,1
Belgium,1971,1
Belgium,1972,1
Belgium,1973,1
Belgium,1974,1
Belgium,1975,1
Belgium,1976,1
Belgium,1977,1
Belgium,1978,1
Belgium,1979,1
Belgium,1980,1
Belgium,1981,1
Belgium,1982,1
Belgium,1983,1
Belgium,1984,1
Belgium,1985,1
Belgium,1986,1
Belgium,1987,1
Belgium,1988,1
Belgium,1989,1
Belgium,1990,1
Belgium,1991,1
Belgium,1992,1
Belgium,1993,1
Belgium,1994,1
Belgium,2018,1
Brazil,1960,1
Brazil,1961,1
Brazil,1962,1
Brazil,1963,1
Brazil,1964,1
Brazil,1965,1
Brazil,1966,1
Brazil,1967,1
Brazil,1968,1
Brazil,1969,1
Brazil,1970,1
Brazil,1971,1
Brazil,1972,1
Brazil,1973,1
Brazil,1974,1
Brazil,1975,1
Brazil,1976,1
Brazil,1977,1
Brazil,1978,1
Brazil,1979,1
Brazil,1980,1
Brazil,1981,1
Brazil,1982,1
Brazil,1983,1
Brazil,1984,1
Brazil,1985,1
Brazil,1986,1
Brazil,1987,1
Brazil,1988,1
Brazil,1989,1
Brazil,1990,1
Brazil,1991,1
Brazil,1992,1
Brazil,1993,1
Brazil,1994,1
Brazil,1995,1
Brazil,1996,1
Brazil,1997,1
Brazil,1998,1
Brazil,1999,1
Brazil,2000,1
Brazil,2001,1
Brazil,2002,1
Brazil,2003,1
Brazil,2004,1
Brazil,2005,1
Brazil,2006,1
Brazil,2007,1
Brazil,2008,1
Brazil,2016,1
Brazil,2017,1
Brazil,2018,1
Canada,1950,1
Canada,1951,1
Canada,1952,1
Canada,1953,1
Canada,1954,1
Canada,1955,1
Canada,1956,1
Canada,1957,1
Canada,1958,1
Canada,1959,1
Canada,1960,1
Canada,1961,1
Canada,1962,1
Canada,1963,1
Canada,1964,1
Canada,1965,1
Canada,1966,1
Canada,1967,1
Canada,1968,1
Canada,1969,1
Canada,1970,1
Canada,1971,1
Canada,1972,1
Canada,1973,1
Canada,1974,1
Canada,1975,1
Canada,1976,1
Canada,1977,1
Canada,1978,1
Canada,1979,1
Canada,1980,1
Canada,1981,1
Canada,1982,1
Canada,1983,1
Canada,1984,1
Canada,1985,1
Canada,1986,1
Canada,1987,1
Canada,1988,1
Canada,1989,1
Canada,1990,1
Canada,1991,1
Canada,1992,1
Canada,1993,1
Canada,1994,1
Canada,2018,1
Chile,1960,1
Chile,1961,1
Chile,1962,1
Chile,1963,1
Chile,1964,1
Chile,1965,1
Chile,1966,1
Chile,1967,1
Chile,1968,1
Chile,1969,1
Chile,1970,1
Chile,1971,1
Chile,1972,1
Chile,1973,1
Chile,1974,1
Chile,1975,1
Chile,1976,1
Chile,1977,1
Chile,1978,1
Chile,1979,1
Chile,1980,1
Chile,1981,1
Chile,1982,1
Chile,1983,1
Chile,1984,1
Chile,1985,1
Chile,1986,1
Chile,1987,1
Chile,1988,1
Chile,1989,1
Chile,1990,1
Chile,1991,1
Chile,1992,1
Chile,1993,1
Chile,1994,1
Chile,1995,1
Chile,1996,1
Chile,1997,1
Chile,1998,1
Chile,1999,1
Chile,2000,1
Chile,2001,1
Chile,2002,1
Chile,2016,1
Chile,2017,1
Chile,2018,1
China (People's Republic of),1970,1
China (People's Republic of),1971,1
China (People's Republic of),1972,1
China (People's Republic of),1973,1
China (People's Republic of),1974,1
China (People's Republic of),1975,1
China (People's Republic of),1976,1
China (People's Republic of),1977,1
China (People's Republic of),1978,1
China (People's Republic of),1979,1
China (People's Republic of),1980,1
China (People's Republic of),1981,1
China (People's Republic of),1982,1
China (People's Republic of),1983,1
China (People's Republic of),1984,1
China (People's Republic of),1985,1
China (People's Republic of),1986,1
China (People's Republic of),1987,1
China (People's Republic of),1988,1
China (People's Republic of),1989,1
China (People's Republic of),1990,1
China (People's Republic of),1991,1
China (People's Republic of),1992,1
China (People's Republic of),1993,1
China (People's Republic of),1994,1
China (People's Republic of),1995,1
China (People's Republic of),1996,1
China (People's Republic of),1997,1
China (People's Republic of),1998,1
China (People's Republic of),1999,1
China (People's Republic of),2000,1
China (People's Republic of),2001,1
China (People's Republic of),2002,1
China (People's Republic of),2003,1
China (People's Republic of),2004,1
China (People's Republic of),2005,1
China (People's Republic of),2006,1
China (People's Republic of),2007,1
China (People's Republic of),2008,1
China (People's Republic of),2009,1
China (People's Republic of),2010,1
China (People's Republic of),2011,1
China (People's Republic of),2012,1
China (People's Republic of),2013,1
China (People's Republic of),2014,1
China (People's Republic of),2015,1
China (People's Republic of),2016,1
China (People's Republic of),2017,1
China (People's Republic of),2018,1
Czech Republic,1970,1
Czech Republic,1971,1
Czech Republic,1972,1
Czech Republic,1973,1
Czech Republic,1974,1
Czech Republic,1975,1
Czech Republic,1976,1
Czech Republic,1977,1
Czech Republic,1978,1
Czech Republic,1979,1
Czech Republic,1980,1
Czech Republic,1981,1
Czech Republic,1982,1
Czech Republic,1983,1
Czech Republic,1984,1
Czech Republic,1985,1
Czech Republic,1986,1
Czech Republic,1987,1
Czech Republic,1988,1
Czech Republic,1989,1
Czech Republic,1990,1
Czech Republic,1991,1
Czech Republic,1992,1
Czech Republic,1993,1
Czech Republic,1994,1
Czech Republic,2018,1
Denmark,1966,1
Denmark,1967,1
Denmark,1968,1
Denmark,1969,1
Denmark,1970,1
Denmark,1971,1
