Country,Year,0
Australia,1950,1
Australia,1951,1
Australia,1952,1
Australia,1953,1
Australia,1954,1
Australia,1955,1
Australia,1956,1
Australia,1957,1
Australia,1958,1
Australia,1959,1
Australia,1960,1
Australia,1961,1
Australia,1962,1
Australia,1963,1
Australia,1964,1
Australia,1965,1
Australia,1966,1
Australia,1967,1
Australia,1968,1
Australia,1969,1
Australia,1970,1
Australia,1971,1
Australia,1972,1
Australia,1973,1
Australia,1974,1
Australia,1975,1
Australia,1976,1
Australia,1977,1
Australia,1978,1
Australia,1979,1
Australia,1980,1
Australia,1981,1
Australia,1982,1
Australia,1983,1
Australia,1984,1
Australia,1985,1
Australia,1986,1
Australia,1987,1
Australia,1988,1
Australia,1989,1
