Country,Year,0
Australia,1980,1
Australia,1981,1
Australia,1982,1
Australia,1983,1
Australia,1984,1
Australia,1985,1
Australia,1986,1
Australia,1987,1
Austria,1980,1
Austria,1981,1
Austria,1982,1
Austria,1983,1
Austria,1984,1
Austria,1985,1
Austria,1986,1
Austria,1987,1
Brazil,1980,1
Brazil,1981,1
Brazil,1982,1
Brazil,1983,1
Brazil,1984,1
Brazil,1985,1
Brazil,1986,1
Brazil,1987,1
Brazil,1988,1
Brazil,1989,1
Brazil,1990,1
Brazil,1991,1
Brazil,1992,1
Brazil,1993,1
Brazil,1994,1
Brazil,1995,1
Chile,1980,1
Chile,1981,1
Chile,1982,1
Chile,1983,1
Chile,1984,1
Chile,1985,1
Chile,1986,1
Chile,1987,1
Chile,1988,1
Chile,1989,1
China (People's Republic of),1980,1
China (People's Republic of),1981,1
Estonia,1993,1
Estonia,1994,1
Germany,1980,1
Germany,1981,1
Germany,1982,1
Germany,1983,1
Germany,1984,1
Germany,1985,1
Germany,1986,1
Germany,1987,1
Germany,1988,1
Germany,1989,1
Germany,1990,1
Hungary,1980,1
Hungary,1981,1
Hungary,1982,1
Hungary,1983,1
Hungary,1984,1
Hungary,1985,1
Hungary,1986,1
Hungary,1987,1
Hungary,1988,1
Hungary,1989,1
Hungary,1990,1
Hungary,1991,1
Hungary,1992,1
Hungary,1993,1
Hungary,1994,1
India,1980,1
India,1981,1
India,1982,1
India,1983,1
India,1984,1
India,1985,1
India,1986,1
India,1987,1
Ireland,1980,1
Ireland,1981,1
Ireland,1982,1
Ireland,1983,1
Ireland,1984,1
Ireland,1985,1
Ireland,1986,1
Ireland,1987,1
Ireland,1988,1
Ireland,1989,1
Ireland,1990,1
Ireland,1991,1
Ireland,1992,1
Ireland,1993,1
Ireland,1994,1
Israel,1980,1
Israel,1981,1
Israel,1982,1
Israel,1983,1
Israel,1984,1
Israel,1985,1
Israel,1986,1
Israel,1987,1
Israel,1988,1
Israel,1989,1
Israel,1990,1
Israel,1991,1
Israel,1992,1
Israel,1993,1
Israel,1994,1
Israel,1995,1
Israel,1996,1
Israel,1997,1
Israel,1998,1
Israel,1999,1
Italy,1980,1
Italy,1981,1
Italy,1982,1
Italy,1983,1
Italy,1984,1
Italy,1985,1
Italy,1986,1
Italy,1987,1
Korea,1980,1
Korea,1981,1
Korea,1982,1
Korea,1983,1
Korea,1984,1
Korea,1985,1
Korea,1986,1
Korea,1987,1
Korea,1988,1
Korea,1989,1
Korea,1990,1
Korea,1991,1
Korea,1992,1
Korea,1993,1
Korea,1994,1
Latvia,1992,1
Latvia,1993,1
Latvia,1994,1
Latvia,1995,1
Latvia,1996,1
Latvia,1997,1
Luxembourg,1980,1
Luxembourg,1981,1
Luxembourg,1982,1
Luxembourg,1983,1
Luxembourg,1984,1
Luxembourg,1985,1
Luxembourg,1986,1
Luxembourg,1987,1
Luxembourg,1988,1
Luxembourg,1989,1
Luxembourg,1990,1
Luxembourg,1991,1
Luxembourg,1992,1
Luxembourg,1993,1
Luxembourg,1994,1
Mexico,1980,1
Mexico,1981,1
Mexico,1982,1
Mexico,1983,1
Mexico,1984,1
Mexico,1985,1
Mexico,1986,1
Mexico,1987,1
Mexico,1988,1
Mexico,1989,1
New Zealand,1980,1
New Zealand,1981,1
New Zealand,1982,1
New Zealand,1983,1
New Zealand,1984,1
Poland,1980,1
Poland,1981,1
Poland,1982,1
Poland,1983,1
Poland,1984,1
Poland,1985,1
Poland,1986,1
Poland,1987,1
Poland,1988,1
Poland,1989,1
Poland,1990,1
Poland,1991,1
Poland,1992,1
Poland,1993,1
Poland,1994,1
Portugal,1980,1
Portugal,1981,1
Portugal,1982,1
Portugal,1983,1
Portugal,1984,1
Portugal,1985,1
Russia,1991,1
Russia,1992,1
Russia,1993,1
Russia,1994,1
Russia,1995,1
Russia,1996,1
Russia,1997,1
Slovak Republic,1993,1
Slovak Republic,1994,1
Slovenia,1992,1
Slovenia,1993,1
Slovenia,1994,1
South Africa,1980,1
South Africa,1981,1
South Africa,1982,1
South Africa,1983,1
South Africa,1984,1
South Africa,1985,1
South Africa,1986,1
South Africa,1987,1
South Africa,1988,1
South Africa,1989,1
South Africa,1990,1
South Africa,1991,1
South Africa,1992,1
South Africa,1993,1
South Africa,1994,1
South Africa,1995,1
South Africa,1996,1
South Africa,1997,1
South Africa,1998,1
South Africa,1999,1
Switzerland,1980,1
Switzerland,1981,1
Switzerland,1982,1
Turkey,1980,1
Turkey,1981,1
Turkey,1982,1
Turkey,1983,1
Turkey,1984,1
Turkey,1985,1
Turkey,1986,1
Turkey,1987,1
Turkey,1988,1
Turkey,1989,1
Turkey,1990,1
Turkey,1991,1
Turkey,1992,1
Turkey,1993,1
Turkey,1994,1
Turkey,1995,1
Turkey,1996,1
Turkey,1997,1
Turkey,1998,1
Turkey,1999,1
United States,1980,1
United States,1981,1
United States,1982,1
United States,1983,1
United States,1984,1
United States,1985,1
United States,1986,1
United States,1987,1
United States,1988,1
United States,1989,1
United States,1990,1
United States,1991,1
United States,1992,1
United States,1993,1
United States,1994,1
United States,1995,1
United States,1996,1
United States,1997,1
United States,1998,1
United States,1999,1
United States,2000,1
