Country,Year,0
Australia,1950,1
Australia,1951,1
Australia,1952,1
Australia,1953,1
Australia,1954,1
Australia,1955,1
Australia,1956,1
Australia,1957,1
Australia,1958,1
Australia,1959,1
Australia,1960,1
Australia,1961,1
Australia,1962,1
Australia,1963,1
Australia,1964,1
Australia,1965,1
Australia,1966,1
Australia,1967,1
Australia,1968,1
Australia,1969,1
Australia,1970,1
Australia,1971,1
Australia,1972,1
Australia,1973,1
Australia,1974,1
Australia,1975,1
Australia,1976,1
Australia,1977,1
Australia,1978,1
Australia,1979,1
Australia,1980,1
Australia,1981,1
Australia,1982,1
Australia,1983,1
Australia,1984,1
Australia,1985,1
Australia,1986,1
Australia,1987,1
Australia,1988,1
Austria,1959,1
Austria,1960,1
Austria,1961,1
Austria,1962,1
Austria,1963,1
Austria,1964,1
Austria,1965,1
Austria,1966,1
Austria,1967,1
Austria,1968,1
Austria,1969,1
Austria,1970,1
Austria,1971,1
Austria,1972,1
Austria,1973,1
Austria,1974,1
Austria,1975,1
Austria,1976,1
Austria,1977,1
Austria,1978,1
Austria,1979,1
Austria,1980,1
Austria,1981,1
Austria,1982,1
Austria,1983,1
Austria,1984,1
Austria,1985,1
Austria,1986,1
Austria,1987,1
Austria,1988,1
Austria,1989,1
Austria,1990,1
Austria,1991,1
Austria,1992,1
Austria,1993,1
Austria,1994,1
Austria,1995,1
Austria,1996,1
Austria,1997,1
Austria,1998,1
Austria,1999,1
Austria,2000,1
Austria,2001,1
Austria,2002,1
Austria,2003,1
Austria,2004,1
Belgium,1956,1
Belgium,1957,1
Belgium,1958,1
Belgium,1959,1
Belgium,1960,1
Belgium,1961,1
Belgium,1962,1
Belgium,1963,1
Belgium,1964,1
Belgium,1965,1
Belgium,1966,1
Belgium,1967,1
Belgium,1968,1
Belgium,1969,1
Belgium,1970,1
Belgium,1971,1
Belgium,1972,1
Belgium,1973,1
Belgium,1974,1
Belgium,1975,1
Belgium,1976,1
Belgium,1977,1
Belgium,1978,1
Belgium,1979,1
Belgium,1980,1
Belgium,1981,1
Belgium,1982,1
Belgium,1983,1
Belgium,1984,1
Belgium,1985,1
Belgium,1986,1
Belgium,1987,1
Belgium,1988,1
Belgium,1989,1
Belgium,1990,1
Belgium,1991,1
Belgium,1992,1
Belgium,1993,1
Belgium,1994,1
Belgium,1995,1
Belgium,1996,1
Belgium,1997,1
Belgium,1998,1
Belgium,1999,1
Belgium,2000,1
Belgium,2001,1
Brazil,1960,1
Brazil,1961,1
Brazil,1962,1
Brazil,1963,1
Brazil,1964,1
Brazil,1965,1
Brazil,1966,1
Brazil,1967,1
Brazil,1968,1
Brazil,1969,1
Brazil,1970,1
Brazil,1971,1
Brazil,1972,1
Brazil,1973,1
Brazil,1974,1
Canada,1950,1
Canada,1951,1
Canada,1952,1
Canada,1953,1
Canada,1954,1
Canada,1955,1
Canada,1956,1
Canada,1957,1
Canada,1958,1
Canada,1959,1
Chile,1960,1
Chile,1961,1
Chile,1962,1
Chile,1963,1
Chile,1964,1
Chile,1965,1
Chile,1966,1
Chile,1967,1
Chile,1968,1
Chile,1969,1
Chile,1970,1
Chile,1971,1
Chile,1972,1
Chile,1973,1
Chile,1974,1
China (People's Republic of),1970,1
China (People's Republic of),1971,1
China (People's Republic of),1972,1
China (People's Republic of),1973,1
China (People's Republic of),1974,1
China (People's Republic of),1975,1
China (People's Republic of),1976,1
China (People's Republic of),1977,1
China (People's Republic of),1978,1
China (People's Republic of),1979,1
China (People's Republic of),1980,1
China (People's Republic of),1981,1
Czech Republic,1970,1
Czech Republic,1971,1
Czech Republic,1972,1
Czech Republic,1973,1
Czech Republic,1974,1
Czech Republic,1975,1
Czech Republic,1976,1
Czech Republic,1977,1
Czech Republic,1978,1
Czech Republic,1979,1
Czech Republic,1980,1
Czech Republic,1981,1
Czech Republic,1982,1
Czech Republic,1983,1
Czech Republic,1984,1
Czech Republic,1985,1
Czech Republic,1986,1
Czech Republic,1987,1
Czech Republic,1988,1
Czech Republic,1989,1
Czech Republic,1990,1
Czech Republic,1991,1
Czech Republic,1992,1
Denmark,1966,1
Denmark,1967,1
Denmark,1968,1
Denmark,1969,1
Denmark,1970,1
Denmark,1971,1
Denmark,1972,1
Denmark,1973,1
Denmark,1974,1
Estonia,1970,1
Estonia,1971,1
Estonia,1972,1
Estonia,1973,1
Estonia,1974,1
Estonia,1975,1
Estonia,1976,1
Estonia,1977,1
Estonia,1978,1
Estonia,1979,1
Estonia,1980,1
Estonia,1981,1
Estonia,1982,1
Estonia,1983,1
Estonia,1984,1
Estonia,1985,1
Estonia,1986,1
Estonia,1987,1
Estonia,1988,1
Estonia,1989,1
Estonia,1990,1
Estonia,1991,1
Finland,1956,1
Finland,1957,1
Finland,1958,1
Finland,1959,1
Finland,1960,1
Finland,1961,1
Finland,1962,1
Finland,1963,1
Finland,1964,1
Finland,1965,1
Finland,1966,1
Finland,1967,1
Finland,1968,1
Finland,1969,1
Finland,1970,1
Finland,1971,1
Finland,1972,1
Finland,1973,1
Finland,1974,1
France,1951,1
France,1952,1
France,1953,1
France,1954,1
France,1955,1
France,1956,1
France,1957,1
France,1958,1
France,1959,1
France,1960,1
France,1961,1
France,1962,1
France,1963,1
France,1964,1
France,1965,1
France,1966,1
France,1967,1
France,1968,1
France,1969,1
France,1970,1
France,1971,1
France,1972,1
France,1973,1
France,1974,1
Germany,1956,1
Germany,1957,1
Germany,1958,1
Germany,1959,1
Germany,1960,1
Germany,1961,1
Germany,1962,1
Germany,1963,1
Germany,1964,1
Germany,1965,1
Germany,1966,1
Germany,1967,1
Germany,1968,1
Germany,1969,1
Germany,1970,1
Greece,1956,1
Greece,1957,1
Greece,1958,1
Greece,1959,1
Greece,1960,1
Greece,1961,1
Greece,1962,1
Greece,1963,1
Greece,1964,1
Greece,1965,1
Greece,1966,1
Greece,1967,1
Greece,1968,1
Greece,1969,1
Greece,1970,1
Greece,1971,1
Greece,1972,1
Greece,1973,1
Greece,1974,1
Greece,1975,1
Greece,1998,1
Hungary,1981,1
Iceland,1956,1
Iceland,1957,1
Iceland,1958,1
Iceland,1959,1
Iceland,1960,1
Iceland,1961,1
Iceland,1962,1
Iceland,1963,1
Iceland,1964,1
Iceland,1965,1
Iceland,1966,1
Iceland,1967,1
Iceland,1968,1
Iceland,1969,1
Iceland,1970,1
Iceland,1971,1
Iceland,1972,1
Iceland,1973,1
Iceland,1974,1
Iceland,1975,1
India,1951,1
India,1952,1
India,1953,1
India,1954,1
India,1955,1
India,1956,1
India,1957,1
India,1958,1
India,1959,1
India,1960,1
India,1961,1
India,1962,1
India,1963,1
India,1964,1
India,1965,1
India,1966,1
India,1967,1
India,1968,1
India,1969,1
India,1970,1
India,1971,1
India,1972,1
India,1973,1
India,1974,1
Ireland,1970,1
Ireland,1971,1
Ireland,1972,1
Ireland,1973,1
Ireland,1974,1
Ireland,1975,1
Ireland,1976,1
Ireland,1977,1
Ireland,1978,1
Ireland,1979,1
Ireland,1980,1
Ireland,1981,1
Ireland,1982,1
Ireland,1983,1
Ireland,1984,1
Ireland,1985,1
