Country,Year,0
Australia,1980,1
Australia,1981,1
Australia,1982,1
Australia,1983,1
Australia,1984,1
Australia,1985,1
Australia,1986,1
Australia,1987,1
Australia,1988,1
Brazil,1980,1
Brazil,1989,1
Brazil,1990,1
Brazil,1992,1
Brazil,1993,1
China (People's Republic of),1980,1
China (People's Republic of),1981,1
China (People's Republic of),1982,1
China (People's Republic of),1983,1
China (People's Republic of),1984,1
Czech Republic,1995,1
Czech Republic,2015,1
Denmark,2014,1
Estonia,1993,1
Estonia,1994,1
Germany,1980,1
Germany,1981,1
Germany,1982,1
Germany,1983,1
Germany,1984,1
Germany,1985,1
Germany,1986,1
Germany,1987,1
Germany,1988,1
Germany,1989,1
Germany,1990,1
Germany,1991,1
Hungary,1980,1
Hungary,1981,1
Hungary,1982,1
Hungary,1983,1
Hungary,1984,1
Hungary,1985,1
Hungary,1986,1
Hungary,1987,1
Hungary,1988,1
Ireland,1980,1
Ireland,1981,1
Ireland,1982,1
Ireland,1983,1
Ireland,1984,1
Ireland,1985,1
Ireland,1986,1
Ireland,1987,1
Ireland,1988,1
Ireland,1989,1
Ireland,1990,1
Ireland,1991,1
Ireland,1992,1
Ireland,1993,1
Ireland,1994,1
Ireland,1995,1
Ireland,2019,1
Israel,2000,1
Italy,2014,1
Japan,2020,1
Latvia,1992,1
Lithuania,1995,1
Mexico,1980,1
Netherlands,1980,1
New Zealand,1980,1
New Zealand,1981,1
New Zealand,1982,1
New Zealand,1983,1
New Zealand,1984,1
New Zealand,1985,1
Poland,1980,1
Poland,1981,1
Poland,1982,1
Poland,1983,1
Poland,1984,1
Russia,1991,1
Russia,1992,1
Slovak Republic,1993,1
Slovenia,1992,1
South Africa,1980,1
South Africa,2020,1
Turkey,1980,1
Turkey,1981,1
Turkey,1982,1
Turkey,1983,1
Turkey,1984,1
Turkey,1985,1
