Country,Year,0
Canada,1950,1
Canada,1951,1
Canada,1952,1
Canada,1953,1
Canada,1954,1
Canada,1955,1
Canada,1956,1
Canada,1957,1
Canada,1958,1
Canada,1959,1
Canada,1960,1
Canada,1961,1
Canada,1962,1
Canada,1963,1
Canada,1964,1
Canada,1965,1
Canada,1966,1
Canada,1967,1
Canada,1968,1
Canada,1969,1
Canada,1970,1
Canada,1971,1
Canada,1972,1
Canada,1973,1
Canada,1974,1
Canada,1975,1
Canada,1976,1
Canada,1977,1
Canada,1978,1
Canada,1979,1
Canada,1980,1
Canada,1981,1
Canada,1982,1
Canada,1983,1
Canada,1984,1
Canada,1985,1
Canada,1986,1
Canada,1987,1
Canada,1988,1
Canada,1989,1
China (People's Republic of),1950,1
China (People's Republic of),1951,1
China (People's Republic of),1952,1
China (People's Republic of),1953,1
China (People's Republic of),1954,1
China (People's Republic of),1955,1
China (People's Republic of),1956,1
China (People's Republic of),1957,1
China (People's Republic of),1958,1
China (People's Republic of),1959,1
China (People's Republic of),1960,1
China (People's Republic of),1961,1
China (People's Republic of),1962,1
China (People's Republic of),1963,1
China (People's Republic of),1964,1
China (People's Republic of),1965,1
China (People's Republic of),1966,1
China (People's Republic of),1967,1
China (People's Republic of),1968,1
China (People's Republic of),1969,1
China (People's Republic of),1970,1
China (People's Republic of),1971,1
China (People's Republic of),1972,1
China (People's Republic of),1973,1
China (People's Republic of),1974,1
China (People's Republic of),1975,1
China (People's Republic of),1976,1
China (People's Republic of),1977,1
China (People's Republic of),1978,1
China (People's Republic of),1979,1
China (People's Republic of),1980,1
China (People's Republic of),1981,1
China (People's Republic of),1982,1
China (People's Republic of),1983,1
China (People's Republic of),1984,1
China (People's Republic of),1985,1
China (People's Republic of),1986,1
China (People's Republic of),1987,1
China (People's Republic of),1988,1
China (People's Republic of),1989,1
China (People's Republic of),1990,1
China (People's Republic of),1991,1
China (People's Republic of),1992,1
China (People's Republic of),1993,1
China (People's Republic of),1994,1
China (People's Republic of),1995,1
China (People's Republic of),1996,1
China (People's Republic of),1997,1
China (People's Republic of),1998,1
China (People's Republic of),1999,1
China (People's Republic of),2000,1
China (People's Republic of),2001,1
China (People's Republic of),2002,1
China (People's Republic of),2003,1
China (People's Republic of),2004,1
China (People's Republic of),2005,1
China (People's Republic of),2006,1
China (People's Republic of),2007,1
China (People's Republic of),2008,1
China (People's Republic of),2009,1
China (People's Republic of),2010,1
China (People's Republic of),2011,1
China (People's Republic of),2012,1
China (People's Republic of),2013,1
China (People's Republic of),2014,1
China (People's Republic of),2015,1
China (People's Republic of),2016,1
China (People's Republic of),2017,1
China (People's Republic of),2018,1
Czech Republic,1950,1
Czech Republic,1951,1
Czech Republic,1952,1
Czech Republic,1953,1
Czech Republic,1954,1
Czech Republic,1955,1
Czech Republic,1956,1
Czech Republic,1957,1
Czech Republic,1958,1
Czech Republic,1959,1
Czech Republic,1960,1
Czech Republic,1961,1
Czech Republic,1962,1
Czech Republic,1963,1
Czech Republic,1964,1
Czech Republic,1965,1
Czech Republic,1966,1
Czech Republic,1967,1
Czech Republic,1968,1
Czech Republic,1969,1
Czech Republic,1970,1
Czech Republic,1971,1
Czech Republic,1972,1
Czech Republic,1973,1
Czech Republic,1974,1
Czech Republic,1975,1
Czech Republic,1976,1
Czech Republic,1977,1
Czech Republic,1978,1
Czech Republic,1979,1
Czech Republic,1980,1
Czech Republic,1981,1
Czech Republic,1982,1
Czech Republic,1983,1
Czech Republic,1984,1
Czech Republic,1985,1
Czech Republic,1986,1
Czech Republic,1987,1
Czech Republic,1988,1
Czech Republic,1989,1
Czech Republic,1990,1
Czech Republic,1991,1
Czech Republic,1992,1
Estonia,1950,1
Estonia,1951,1
Estonia,1952,1
Estonia,1953,1
Estonia,1954,1
Estonia,1955,1
Estonia,1956,1
Estonia,1957,1
Estonia,1958,1
Estonia,1959,1
Estonia,1960,1
Estonia,1961,1
Estonia,1962,1
Estonia,1963,1
Estonia,1964,1
Estonia,1965,1
Estonia,1966,1
Estonia,1967,1
Estonia,1968,1
Estonia,1969,1
Estonia,1970,1
Estonia,1971,1
Estonia,1972,1
Estonia,1973,1
Estonia,1974,1
Estonia,1975,1
Estonia,1976,1
Estonia,1977,1
Estonia,1978,1
Estonia,1979,1
Estonia,1980,1
Estonia,1981,1
Estonia,1982,1
Estonia,1983,1
Estonia,1984,1
Estonia,1985,1
Estonia,1986,1
Estonia,1987,1
Estonia,1988,1
Estonia,1989,1
Estonia,1990,1
Estonia,1991,1
Estonia,1992,1
Estonia,1993,1
Estonia,1994,1
Estonia,1995,1
Estonia,1996,1
Estonia,1997,1
Estonia,1998,1
Estonia,1999,1
Germany,1950,1
Germany,1951,1
Germany,1952,1
Germany,1953,1
Germany,1954,1
Germany,1955,1
Germany,1956,1
Germany,1957,1
Germany,1958,1
Germany,1959,1
Germany,1960,1
Hungary,1950,1
Hungary,1951,1
Hungary,1952,1
Hungary,1953,1
Hungary,1954,1
Hungary,1955,1
Hungary,1956,1
Hungary,1957,1
Hungary,1958,1
Hungary,1959,1
Hungary,1960,1
Hungary,1961,1
Hungary,1962,1
Hungary,1963,1
Hungary,1964,1
Hungary,1965,1
Hungary,1966,1
Hungary,1967,1
Hungary,1968,1
Hungary,1969,1
Hungary,1970,1
Hungary,1971,1
Hungary,1972,1
Hungary,1973,1
Hungary,1974,1
Hungary,1975,1
Hungary,1976,1
Hungary,1977,1
Hungary,1978,1
Hungary,1979,1
Hungary,1980,1
Hungary,1981,1
Hungary,1982,1
Hungary,1983,1
Hungary,1984,1
Hungary,1985,1
Hungary,1986,1
Hungary,1987,1
Hungary,1988,1
Iceland,1950,1
Iceland,1951,1
Iceland,1952,1
Iceland,1953,1
Iceland,1954,1
Iceland,1955,1
Iceland,1956,1
Iceland,1957,1
Iceland,1958,1
Iceland,1959,1
Iceland,1960,1
Iceland,1961,1
Iceland,1962,1
Iceland,1963,1
Iceland,1964,1
Iceland,1965,1
Iceland,1966,1
Iceland,1967,1
Iceland,1968,1
Iceland,1969,1
Iceland,1970,1
Iceland,1971,1
India,1997,1
Ireland,1994,1
Israel,1950,1
Israel,1951,1
Israel,1952,1
Israel,1953,1
Israel,1954,1
Israel,1955,1
Israel,1956,1
Israel,1957,1
Israel,1958,1
Israel,1959,1
Israel,1960,1
Israel,1961,1
Israel,1962,1
Israel,1963,1
Israel,1964,1
Israel,1965,1
Israel,1966,1
Israel,1967,1
Israel,1968,1
Israel,1969,1
Israel,1970,1
Israel,1971,1
Israel,1972,1
Israel,1973,1
Israel,1974,1
Israel,1975,1
Israel,1976,1
Israel,1977,1
Israel,1978,1
Israel,1979,1
Israel,1980,1
Israel,1981,1
Israel,1982,1
Japan,1950,1
Japan,1951,1
Japan,1952,1
Japan,1953,1
Japan,1954,1
Japan,1955,1
Japan,1956,1
Japan,1957,1
Japan,1958,1
Japan,1959,1
Japan,1960,1
Japan,1961,1
Japan,1962,1
Japan,1963,1
Japan,1964,1
Japan,1965,1
Japan,1966,1
Japan,1967,1
Japan,1968,1
Korea,1950,1
Korea,1951,1
Korea,1952,1
Korea,1953,1
Korea,1954,1
Korea,1955,1
Korea,1956,1
Korea,1957,1
Korea,1959,1
