Country,Year,0
Australia,1800,1
Australia,1801,1
Australia,1802,1
Australia,1803,1
Australia,1804,1
Australia,1805,1
Australia,1806,1
Australia,1807,1
Australia,1808,1
Australia,1809,1
Australia,1810,1
Australia,1811,1
Australia,1812,1
Australia,1813,1
Australia,1814,1
Australia,1815,1
Australia,1816,1
Australia,1817,1
Australia,1818,1
Australia,1819,1
Australia,1820,1
Australia,1821,1
Australia,1822,1
Australia,1823,1
Australia,1824,1
Australia,1825,1
Australia,1826,1
Australia,1827,1
Australia,1828,1
Australia,1829,1
Australia,1830,1
Australia,1831,1
Australia,1832,1
Australia,1833,1
Australia,1834,1
Australia,1835,1
Australia,1836,1
Australia,1837,1
Australia,1838,1
Australia,1839,1
Australia,1840,1
Australia,1841,1
Australia,1842,1
Australia,1843,1
Australia,1844,1
Australia,1845,1
Australia,1846,1
Australia,1847,1
Australia,1848,1
Australia,1849,1
Australia,1850,1
Australia,1851,1
Australia,1852,1
Australia,1853,1
Australia,1854,1
Australia,1855,1
Australia,1856,1
Australia,1857,1
Australia,1858,1
Australia,1859,1
Australia,1860,1
Australia,1861,1
Australia,1862,1
Australia,1863,1
Australia,1864,1
Australia,1865,1
Australia,1866,1
Australia,1867,1
Australia,1868,1
Australia,1869,1
Australia,1870,1
Australia,1871,1
Australia,1872,1
Australia,1873,1
Australia,1874,1
Australia,1875,1
Australia,1876,1
Australia,1877,1
Australia,1878,1
Australia,1879,1
Australia,1880,1
Australia,1881,1
Australia,1882,1
Australia,1883,1
Australia,1884,1
Australia,1885,1
Australia,1886,1
Australia,1887,1
Australia,1888,1
Australia,1889,1
Australia,1890,1
Australia,1891,1
Australia,1892,1
Australia,1893,1
Australia,1894,1
Australia,1895,1
Australia,1896,1
Australia,1897,1
Australia,1898,1
Australia,1899,1
Australia,1900,1
Australia,1901,1
Australia,1902,1
Australia,1903,1
Australia,1904,1
Australia,1905,1
Australia,1906,1
Australia,1907,1
Australia,1908,1
Australia,1909,1
Australia,1910,1
Australia,1911,1
Australia,1912,1
Australia,1913,1
Australia,1914,1
Australia,1915,1
Australia,1916,1
Australia,1917,1
Australia,1918,1
Australia,1919,1
Australia,1920,1
Australia,1921,1
Australia,1922,1
Australia,1923,1
Australia,1924,1
Australia,1925,1
Australia,1926,1
Australia,1927,1
Australia,1928,1
Australia,1929,1
Australia,1930,1
Australia,1931,1
Australia,1932,1
Australia,1933,1
Australia,1934,1
Australia,1935,1
Australia,1936,1
Australia,1937,1
Australia,1938,1
Australia,1939,1
Australia,1940,1
Australia,1941,1
Australia,1942,1
Australia,1943,1
Australia,1944,1
Australia,1945,1
Australia,1946,1
Australia,1947,1
Australia,1948,1
Australia,1949,1
Australia,1950,1
Australia,1951,1
Australia,1952,1
Australia,1953,1
Australia,1954,1
Australia,1955,1
Australia,1956,1
Australia,1957,1
Australia,1958,1
Australia,1959,1
Australia,1960,1
Australia,1961,1
Australia,1962,1
Australia,1963,1
Australia,1964,1
Australia,1965,1
Australia,1966,1
Australia,1967,1
Australia,1968,1
Australia,1969,1
Australia,1970,1
Australia,1971,1
Australia,1972,1
Australia,1973,1
Australia,1974,1
Australia,1975,1
Australia,1976,1
Australia,1977,1
Australia,1978,1
Australia,1979,1
Australia,1980,1
Australia,1981,1
Australia,1982,1
Australia,1983,1
Australia,1984,1
Australia,1985,1
Australia,1986,1
Australia,1987,1
Australia,1988,1
Australia,1989,1
Australia,1990,1
Australia,1991,1
Australia,1992,1
Australia,1993,1
Australia,1994,1
Australia,1995,1
Australia,1996,1
Australia,1997,1
Australia,1998,1
Australia,1999,1
Australia,2000,1
Australia,2001,1
Australia,2002,1
Australia,2003,1
Australia,2004,1
Australia,2005,1
Australia,2006,1
Australia,2007,1
Australia,2008,1
Australia,2009,1
Australia,2010,1
Australia,2011,1
Austria,1800,1
Austria,1801,1
Austria,1802,1
Austria,1803,1
Austria,1804,1
Austria,1805,1
Austria,1806,1
Austria,1807,1
Austria,1808,1
Austria,1809,1
Austria,1810,1
Austria,1811,1
Austria,1812,1
Austria,1813,1
Austria,1814,1
Austria,1815,1
Austria,1816,1
Austria,1817,1
Austria,1818,1
Austria,1819,1
Austria,1820,1
Austria,1821,1
Austria,1822,1
Austria,1823,1
Austria,1824,1
Austria,1825,1
Austria,1826,1
Austria,1827,1
Austria,1828,1
Austria,1829,1
Austria,1830,1
Austria,1831,1
Austria,1832,1
Austria,1833,1
Austria,1834,1
Austria,1835,1
Austria,1836,1
Austria,1837,1
Austria,1838,1
Austria,1839,1
Austria,1840,1
Austria,1841,1
Austria,1842,1
Austria,1843,1
Austria,1844,1
Austria,1845,1
Austria,1846,1
Austria,1847,1
Austria,1848,1
Austria,1849,1
Austria,1850,1
Austria,1851,1
Austria,1852,1
Austria,1853,1
Austria,1854,1
Austria,1855,1
Austria,1856,1
Austria,1857,1
Austria,1858,1
Austria,1859,1
Austria,1860,1
Austria,1861,1
Austria,1862,1
Austria,1863,1
Austria,1864,1
Austria,1865,1
Austria,1866,1
Austria,1867,1
Austria,1868,1
Austria,1869,1
Austria,1870,1
Austria,1871,1
Austria,1872,1
Austria,1873,1
Austria,1874,1
Austria,1875,1
Austria,1876,1
Austria,1877,1
Austria,1878,1
Austria,1879,1
Austria,1880,1
Austria,1881,1
Austria,1882,1
Austria,1883,1
Austria,1884,1
Austria,1885,1
Austria,1886,1
Austria,1887,1
Austria,1888,1
Austria,1889,1
Austria,1890,1
Austria,1891,1
Austria,1892,1
Austria,1893,1
Austria,1894,1
Austria,1895,1
Austria,1896,1
Austria,1897,1
Austria,1898,1
Austria,1899,1
Austria,1900,1
Austria,1901,1
Austria,1902,1
Austria,1903,1
Austria,1904,1
Austria,1905,1
Austria,1906,1
Austria,1907,1
Austria,1908,1
Austria,1909,1
Austria,1910,1
Austria,1911,1
Austria,1912,1
Austria,1913,1
Austria,1914,1
Austria,1915,1
Austria,1916,1
Austria,1917,1
Austria,1918,1
Austria,1919,1
Austria,1920,1
Austria,1921,1
Austria,1922,1
Austria,1923,1
Austria,1924,1
Austria,1925,1
Austria,1926,1
Austria,1927,1
Austria,1928,1
Austria,1929,1
Austria,1930,1
Austria,1931,1
Austria,1932,1
Austria,1933,1
Austria,1934,1
Austria,1935,1
Austria,1936,1
Austria,1937,1
Austria,1938,1
Austria,1939,1
Austria,1940,1
Austria,1941,1
Austria,1942,1
Austria,1943,1
Austria,1944,1
Austria,1945,1
Austria,1946,1
Austria,1947,1
Austria,1948,1
Austria,1949,1
Austria,1950,1
Austria,1951,1
Austria,1952,1
Austria,1953,1
Austria,1954,1
Austria,1955,1
Austria,1956,1
Austria,1957,1
Austria,1958,1
Austria,1959,1
Austria,1960,1
Austria,1961,1
Austria,1962,1
Austria,1963,1
Austria,1964,1
Austria,1965,1
Austria,1966,1
Austria,1967,1
Austria,1968,1
Austria,1969,1
Belgium,1800,1
Belgium,1801,1
Belgium,1802,1
Belgium,1803,1
Belgium,1804,1
Belgium,1805,1
Belgium,1806,1
Belgium,1807,1
Belgium,1808,1
Belgium,1809,1
Belgium,1810,1
Belgium,1811,1
Belgium,1812,1
Belgium,1813,1
Belgium,1814,1
Belgium,1815,1
Belgium,1816,1
Belgium,1817,1
Belgium,1818,1
Belgium,1819,1
Belgium,1820,1
Belgium,1821,1
Belgium,1822,1
Belgium,1823,1
Belgium,1824,1
Belgium,1825,1
Belgium,1826,1
Belgium,1827,1
Belgium,1828,1
Belgium,1829,1
Belgium,1830,1
Belgium,1831,1
Belgium,1832,1
Belgium,1833,1
Belgium,1834,1
Belgium,1835,1
Belgium,1836,1
Belgium,1837,1
Belgium,1838,1
Belgium,1839,1
Belgium,1840,1
Belgium,1841,1
Belgium,1842,1
Belgium,1843,1
Belgium,1844,1
Belgium,1845,1
Belgium,1846,1
Belgium,1847,1
Belgium,1848,1
Belgium,1849,1
Belgium,1850,1
Belgium,1851,1
Belgium,1852,1
Belgium,1853,1
Belgium,1854,1
Belgium,1855,1
Belgium,1856,1
Belgium,1857,1
Belgium,1858,1
Belgium,1859,1
Belgium,1860,1
Belgium,1861,1
Belgium,1862,1
Belgium,1863,1
Belgium,1864,1
Belgium,1865,1
Belgium,1866,1
Belgium,1867,1
Belgium,1868,1
Belgium,1869,1
Belgium,1870,1
Belgium,1871,1
Belgium,1872,1
Belgium,1873,1
Belgium,1874,1
Belgium,1875,1
Belgium,1876,1
Belgium,1877,1
Belgium,1878,1
Belgium,1879,1
Belgium,1880,1
Belgium,1881,1
Belgium,1882,1
Belgium,1883,1
Belgium,1884,1
Belgium,1885,1
Belgium,1886,1
Belgium,1887,1
Belgium,1888,1
Belgium,1889,1
Belgium,1890,1
Belgium,1891,1
Belgium,1892,1
Belgium,1893,1
Belgium,1894,1
Belgium,1895,1
Belgium,1896,1
Belgium,1897,1
Belgium,1898,1
Belgium,1899,1
Belgium,1900,1
Belgium,1901,1
Belgium,1902,1
Belgium,1903,1
Belgium,1904,1
Belgium,1905,1
Belgium,1906,1
Belgium,1907,1
Belgium,1908,1
Belgium,1909,1
Belgium,1910,1
Belgium,1911,1
Belgium,1912,1
Belgium,1913,1
Belgium,1914,1
Belgium,1915,1
Belgium,1916,1
Belgium,1917,1
Belgium,1918,1
Belgium,1919,1
Belgium,1920,1
Belgium,1921,1
Belgium,1922,1
Belgium,1923,1
Belgium,1924,1
Belgium,1925,1
Belgium,1926,1
Belgium,1927,1
