Country,Year,0
Chile,1950,1
China (People's Republic of),1950,1
China (People's Republic of),1951,1
Czech Republic,1950,1
Czech Republic,1951,1
Czech Republic,1952,1
Czech Republic,1953,1
Czech Republic,1954,1
Czech Republic,1955,1
Czech Republic,1956,1
Czech Republic,1957,1
Czech Republic,1958,1
Czech Republic,1959,1
Czech Republic,1960,1
Czech Republic,1961,1
Czech Republic,1962,1
Czech Republic,1963,1
Czech Republic,1964,1
Czech Republic,1965,1
Czech Republic,1966,1
Czech Republic,1967,1
Czech Republic,1968,1
Czech Republic,1969,1
Czech Republic,1970,1
Czech Republic,1971,1
Czech Republic,1972,1
Czech Republic,1973,1
Czech Republic,1974,1
Czech Republic,1975,1
Czech Republic,1976,1
Czech Republic,1977,1
Czech Republic,1978,1
Czech Republic,1979,1
Czech Republic,1980,1
Czech Republic,1981,1
Czech Republic,1982,1
Czech Republic,1983,1
Czech Republic,1984,1
Czech Republic,1985,1
Czech Republic,1986,1
Czech Republic,1987,1
Czech Republic,1988,1
Czech Republic,1989,1
Estonia,1950,1
Estonia,1951,1
Estonia,1952,1
Estonia,1953,1
Estonia,1954,1
Estonia,1955,1
Estonia,1956,1
Estonia,1957,1
Estonia,1958,1
Estonia,1959,1
Estonia,1960,1
Estonia,1961,1
Estonia,1962,1
Estonia,1963,1
Estonia,1964,1
Estonia,1965,1
Estonia,1966,1
Estonia,1967,1
Estonia,1968,1
Estonia,1969,1
Estonia,1970,1
Estonia,1971,1
Estonia,1972,1
Estonia,1973,1
Estonia,1974,1
Estonia,1975,1
Estonia,1976,1
Estonia,1977,1
Estonia,1978,1
Estonia,1979,1
Estonia,1980,1
Estonia,1981,1
Estonia,1982,1
Estonia,1983,1
Estonia,1984,1
Estonia,1985,1
Estonia,1986,1
Estonia,1987,1
Estonia,1988,1
Estonia,1989,1
Greece,1950,1
Hungary,1950,1
Hungary,1951,1
Hungary,1952,1
Hungary,1953,1
Hungary,1954,1
Hungary,1955,1
Hungary,1956,1
Hungary,1957,1
Hungary,1958,1
Hungary,1959,1
Hungary,1960,1
Hungary,1961,1
Korea,1950,1
Korea,1951,1
Korea,1952,1
Latvia,1950,1
Latvia,1951,1
Latvia,1952,1
Latvia,1953,1
Latvia,1954,1
Latvia,1955,1
Latvia,1956,1
Latvia,1957,1
Latvia,1958,1
Latvia,1959,1
Latvia,1960,1
Latvia,1961,1
Latvia,1962,1
Latvia,1963,1
Latvia,1964,1
Latvia,1965,1
Latvia,1966,1
Latvia,1967,1
Latvia,1968,1
Latvia,1969,1
Latvia,1970,1
Latvia,1971,1
Latvia,1972,1
Latvia,1973,1
Latvia,1974,1
Latvia,1975,1
Latvia,1976,1
Latvia,1977,1
Latvia,1978,1
Latvia,1979,1
Latvia,1980,1
Latvia,1981,1
Latvia,1982,1
Latvia,1983,1
Latvia,1984,1
Latvia,1985,1
Latvia,1986,1
Latvia,1987,1
Latvia,1988,1
Latvia,1989,1
Lithuania,1950,1
Lithuania,1951,1
Lithuania,1952,1
Lithuania,1953,1
Lithuania,1954,1
Lithuania,1955,1
Lithuania,1956,1
Lithuania,1957,1
Lithuania,1958,1
Lithuania,1959,1
Lithuania,1960,1
Lithuania,1961,1
Lithuania,1962,1
Lithuania,1963,1
Lithuania,1964,1
Lithuania,1965,1
Lithuania,1966,1
Lithuania,1967,1
Lithuania,1968,1
Lithuania,1969,1
Lithuania,1970,1
Lithuania,1971,1
Lithuania,1972,1
Lithuania,1973,1
Lithuania,1974,1
Lithuania,1975,1
Lithuania,1976,1
Lithuania,1977,1
Lithuania,1978,1
Lithuania,1979,1
Lithuania,1980,1
Lithuania,1981,1
Lithuania,1982,1
Lithuania,1983,1
Lithuania,1984,1
Lithuania,1985,1
Lithuania,1986,1
