,Country,Year,C_M2,C_cpi,IV_fdi_outflow,IV_lending,C_gdp,IV_trade_balance,C_REER,DV_VA,DV_nfc_ls,DV_hh_ls,IV_gov_exp,IV_gini,DV_VAplus,DV_nfc_lsplus,DV_hh_lsplus,IVlag1_DV_VAplus,IVlag1_DV_nfc_lsplus,IVlag1_DV_hh_lsplus,IV_lendingplus,IV_gov_expplus,IV_trade_balanceplus,IV_fdi_outflowplus,IV_lendingplus_lag1,IV_gov_expplus_lag1,IV_trade_balanceplus_lag1,IV_fdi_outflowplus_lag1,IV_lendingplus_lag2,IV_gov_expplus_lag2,IV_trade_balanceplus_lag2,IV_fdi_outflowplus_lag2,C_REERplus,C_cpiplus,C_gdpplus,C_m2plus
399,Australia,1950,,8.695652,,,,,,,,,12.2181,,,,,,,,,,,,,,,,,,,,,,,
400,Australia,1951,,19.42857,,,,,,,,,13.1699,,,,,,,,,0.07790081927631953,,,,,,,,,,,,1.2342855946857116,,
401,Australia,1952,,17.22488,,,,,,,,,14.7516,,,,,,,,,0.12009962110570305,,,,0.07790081927631953,,,,,,,,-0.11342522892832574,,
402,Australia,1953,,4.489796,,,,,,,,,13.2703,,,,,,,,,-0.10041622603649769,,,,0.12009962110570305,,,,0.07790081927631953,,,,-0.7393423930964975,,
403,Australia,1954,,1.5625,,,,,,,,,12.1047,,,,,,,,,-0.08783524110231122,,,,-0.10041622603649769,,,,0.12009962110570305,,,,-0.6519886426911157,,
404,Australia,1955,,1.538462,,,,,,,,,11.7672,,,,,,,,,-0.027881731889266015,,,,-0.08783524110231122,,,,-0.10041622603649769,,,,-0.015384320000000007,,
405,Australia,1956,,5.681818,,,,,,,,,11.6098,,,,,,,,,-0.013376164253178446,,,,-0.027881731889266015,,,,-0.08783524110231122,,,,2.693180592045822,,
406,Australia,1957,,2.867383,,,,,,,,,12.0102,,,,,,,,,0.03448810487691434,,,,-0.013376164253178446,,,,-0.027881731889266015,,,,-0.4953405758508984,,
407,Australia,1958,,0.6968641,,,,,,,,,11.9348,,,,,,,,,-0.006277997035852856,,,,0.03448810487691434,,,,-0.013376164253178446,,,,-0.7569686016831375,,
408,Australia,1959,,2.076125,,,183991.4125,,,,,,11.1664,,,,,,,,,-0.06438314843985649,,,,-0.006277997035852856,,,,0.03448810487691434,,,,1.9792394241574507,,
409,Australia,1960,44.6153846153846,3.728814,,,188565.6286,,,,,,21.8251254,0.4079144969,,,,,,,,0.9545355172660841,,,,-0.06438314843985649,,,,-0.006277997035852856,,,,0.7960450358239506,0.024861030402709705,
410,Australia,1961,44.1822429906542,2.287582,,,191008.8322,,,,,,23.34178642,0.4092789102,,,,,,,,0.0694915145825461,,,,0.9545355172660841,,,,-0.06438314843985649,,,,-0.3865121725031069,0.0129567812444904,-0.009708346761198583
411,Australia,1962,47.1067447359532,-0.3194888,,,202880.0637,,,,,,22.70216757,0.4145242247,,,,,,,,-0.027402309253072077,,,,0.0694915145825461,,,,0.9545355172660841,,,,-1.1396622285015356,0.062150170561589224,0.06619178989888796
412,Australia,1963,48.1264319933347,0.6410257,,,217038.0411,,,,,,22.96449955,0.4175366537,,,,,,,,0.011555371494423206,,,,-0.027402309253072077,,,,0.0694915145825461,,,,-3.006410553358991,0.06978496133033296,0.021646311225645976
