Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-130502793.3,-184748603.4,36983240.22,17932960.89,73184357.54,5530726.257,-84134078.21,-197597765.4,-82178770.95,-469329608.9,130558659.2,263240223.5,-338659217.9,-163016759.8,97541899.44,198934471.1,-233138804.5,510558659.2,-16089385.47,12122905.03,-184022346.4,-485027933,317486033.5,-221951574.3,-241753769.3,39290644.13,-27970016.74,-79282922.03,-105189133.1,135859707.5,
Afghanistan,AFG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,-47951776.13,-55860135.47,-192022479.5,-51036283.61,-65684511.34,-47774027.01,-42994416.21,-166983554.9,-79585268.75,-40273161,-80631404.07,2916492.929,
Angola,AGO,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,,,,,,,,,,-278000000,-234000000,-119000000,-131000000,-200000000,335700000,-664500000,-287956000,-302100000,-170300000,-472427000,-180559000,-411660000,-1113970000,-2471460000,-878620000,-2145470000,-1643393000,-3481071780,-1413991820,1523198987,228299945.9,1805123607,890672963.9,-2198545055,4567640566,5116413414,2351103731,8041583617,-2770722211,-10813085379,452522618.9,8749300466,6461790581,1749052912,
Albania,ALB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-20000000,-58000000,-53000000,-70000000,-90100000,-47500000,-45010000,-41200000,-143000000,-207300000,-135000000,-178036400.7,-327681210.2,-258417488.7,-314638316.8,-647365283.8,-881244175.1,-950761387.6,-1043511678,-846616681.6,-834803023.1,-1225674342,-1074294190,-910256726,-1037328978,-1128922245,-1208920406,-1161045288,
Andorra,AND,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,0,-145000000,-273000000,-265000000,-788000000,-944000000,-257000000,-183000000,-268000000,-919000000,-574000000,19000000,-1147000000,-1028000000,-1836000000,-2439000000,-3265063223,-2088015410,-2622087878,-4112274404,-5347787687,-5507454052,-4965180132,-22257413390,-9517286140,-2005260142,-2776050000,-878230000,-3448720000,-3954190000,-3098627066,-4968924801,-8334618541,-3305612521,-10367957946,-9351930945,-14269084339,-8931688999,-3144794109,-10883760784,-1473633407,-10361231244,-10070635996,-5123845949,
Armenia,ARM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-800000,-8000000,-25320000,-17570000,-51940000,-220829000,-122034000,-104188500,-69868500,-110723793.8,-122243975,-247264860.1,-286684171.8,-443904925.6,-658779848,-913226598.5,-707800329.9,-501862329,-434138222.4,-473210732.1,-315829524.3,-377774324,-155376062,-263213931.7,-221878286.3,-247133657.7,-396632618.1,
American Samoa,ASM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,,-2200000,6900000,-8500000,-19600000,-22400000,-23000000,-5000000,-4400000,-15600000,-22600000,-38596296.3,-32951851.85,-43107407.41,-60607407.41,-54792592.59,-19648148.15,-15240740.74,-24788888.89,-31485185.19,-19351851.85,-22944444.44,-22774074.07,-51792533.33,-43115925.93,-98452222.22,-65865064.81,-166321143.7,-80366585.19,-220963374.1,-358820163.7,-338204733.3,-158783774.4,-80646652.59,-96679207.78,-65160596.3,-129367138.9,-134288999.6,-39930998.38,-99949131.34,-59449394.19,-159273705.8,-165042505,,
Australia,AUS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5000323944,-7824698719,-3782555746,-1106562011,-2767984260,-2630684042,-9222498129,441654791.4,-2007441432,-2932190621,-1898249310,-10797958705,2663165109,-7681971735,9612586773,-33123390587,-7620252751,-6470053661,-30020094089,-13272117217,-17218512630,-17142068311,-57304251200,-51785739222,-54767994546,-40630459096,-38633221206,-46077390958,-38686715709,-60526752844,-30900753814,
Austria,AUT,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193338846.2,5587390966,10174118816,21601880265,1258109966,7679700298,15161341821,13225677746,10579892540,-2587541536,5836278366,2023538040,-3410590995,1971094102,7410325506,
Azerbaijan,AZE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-330050000,-627277000,-1114834000,-1022947000,-510317000,-129177000,-226513000,-1066821000,-2351747000,-2351283000,-459151000,1289475000,5034521000,540824000,-147181000,-331155000,-932582000,-812407000,-1141550000,-2443393000,-838252000,-1926065000,-303106351.9,357879000,927801000,
