"","V1","V2","V3","V4","V5"
"602","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1960,"0.4079144969"
"603","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1961,"0.4092789102"
"604","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1962,"0.4145242247"
"605","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1963,"0.4175366537"
"606","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1964,"0.4098739057"
"607","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1965,"0.4068615356"
"608","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1966,"0.3988582145"
"609","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1967,"0.4007873029"
"610","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1968,"0.3972075944"
"611","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1969,"0.3922570136"
"612","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1970,"0.3895263046"
"613","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1971,"0.3955673576"
"614","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1972,"0.3904513275"
"615","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1973,"0.381654671"
"616","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1974,"0.37142257"
"617","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1975,"0.3667756209"
"618","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1976,"0.3630275165"
"619","Australia","gptinc_pall_992_j_AU
Pre-tax national income
Total population | Gini coefficient | adults | equal split
","pall",1977,"0.3641950614"
