"","Var1","Freq"
"1","Assets (with Fund Record), US Dollars",554
"2","Assets, Direct Investment, Debt Instruments, US Dollars",494
"3","Assets, Direct Investment, Equity and Investment Fund Shares, US Dollars",515
"4","Assets, Direct Investment, US Dollars",534
"5","Assets, Financial Derivatives (Other Than Reserves) and Employee Stock Options, US Dollars",428
"6","Assets, Other Investment, Other Equity, US Dollars",342
"7","Assets, Other Investment, US Dollars",554
"8","Assets, Other Investment: Debt Instruments, US Dollars",554
"9","Assets, Portfolio Investment, Debt Securities, US Dollars",520
"10","Assets, Portfolio Investment, Equity and Investment Fund Shares, US Dollars",522
"11","Assets, Portfolio Investment, US Dollars",539
"12","Assets, Reserve Assets, Net (with Fund Record), US Dollars",554
"13","Capital Account, Total, Debit, US Dollars",645
"14","Central Bank Survey, Claims on Central Government (Euro Area-Wide-Residency), Euros",57
"15","Central Bank Survey, Claims on Nonresidents (Euro Area-Wide-Residency), Euros",57
"16","Central Bank Survey, Claims on Other Depository Corporations (Euro Area-Wide-Residency), Euros",57
"17","Central Bank Survey, Claims on Other Financial Corporations (Euro Area-Wide-Residency), Euros",57
"18","Central Bank Survey, Claims on Other Sectors (Euro area-Wide-Residency), Euros",57
"19","Central Bank Survey, Claims on Private  Sector (Euro Area-Wide-Residency), Euros",57
"20","Central Bank Survey, Claims on Public Nonfinancial Corporations (Euro Area-Wide-Residency), Euros",57
"21","Central Bank Survey, Claims on State and Local Government (Euro Area-Wide-Residency), Euros",57
"22","Central Bank Survey, Currency in Circulation (Euro Area-Wide-Residency), Euros",57
"23","Central Bank Survey, Demand deposits of other sectors (Euro area-Wide-Residency), Euros",57
"24","Central Bank Survey, Deposits and Securities Other than Shares excl. from Monetary Base (Euro Area-Wide-Residency), Euros",57
"25","Central Bank Survey, Deposits Excluded from Broad Money (Euro Area-Wide-Residency), Euros",57
"26","Central Bank Survey, Financial Derivatives (Euro Area-Wide-Residency), Euros",57
"27","Central Bank Survey, Liabilities to Central Government (Euro area-Wide-Residency), Euros",57
"28","Central Bank Survey, Liabilities to Nonresidents (Euro Area-Wide-Residency), Euros",57
"29","Central Bank Survey, Liabilities to Other Depository Corporations (Euro Area-Wide-Residency), Euros",57
"30","Central Bank Survey, Loans (Euro Area-Wide-Residency), Euros",57
"31","Central Bank Survey, Monetary Base (Euro Area-Wide-Residency), Euros",57
"32","Central Bank Survey, Net Claims on Central Government (Euro Area-Wide-Residency), Euros",57
"33","Central Bank Survey, Net Foreign Assets (Euro Area-Wide-Residency), Euros",57
