"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","1995","1995","EUR","Euro","6","Millions",,,11921.52,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","1996","1996","EUR","Euro","6","Millions",,,15991.17,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","1997","1997","EUR","Euro","6","Millions",,,4101.39,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","1998","1998","EUR","Euro","6","Millions",,,24471.38,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","1999","1999","EUR","Euro","6","Millions",,,12362,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2000","2000","EUR","Euro","6","Millions",,,10937,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2001","2001","EUR","Euro","6","Millions",,,11621,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2002","2002","EUR","Euro","6","Millions",,,16855,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2003","2003","EUR","Euro","6","Millions",,,16717,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2004","2004","EUR","Euro","6","Millions",,,14633,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2005","2005","EUR","Euro","6","Millions",,,12058,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2006","2006","EUR","Euro","6","Millions",,,13757,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2007","2007","EUR","Euro","6","Millions",,,14345,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2008","2008","EUR","Euro","6","Millions",,,4738,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2009","2009","EUR","Euro","6","Millions",,,9310,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2010","2010","EUR","Euro","6","Millions",,,7896,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2011","2011","EUR","Euro","6","Millions",,,-4095,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2012","2012","EUR","Euro","6","Millions",,,6815,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2013","2013","EUR","Euro","6","Millions",,,6993,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2014","2014","EUR","Euro","6","Millions",,,5213,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2015","2015","EUR","Euro","6","Millions",,,5822,,
"BEL","Belgium","FB9F","Net financial transactions","RS1","Total economy","C","National currency, current prices","2016","2016","EUR","Euro","6","Millions",,,2813,,
