"","id","country","c3","c2","year","gini","gem1","ge0","ge1","ge2","a025","a050","a075","a1","a2","palma","ratio_top20bottom20","bottom40","q1","q2","q3","q4","q5","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10","bottom5","top5","resource","resource_detailed","scale","scale_detailed","sharing_unit","reference_unit","areacovr","areacovr_detailed","popcovr","popcovr_detailed","region_un","region_un_sub","region_wb","eu","oecd","incomegroup","mean","median","currency","reference_period","exchangerate","mean_usd","median_usd","gdp","population","revision","quality","quality_score","source","source_detailed","source_comments","survey","link","wiidcompanion"
"1",1,"Afghanistan","AFG","AF",2008,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33,22,9,13,17,22,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Asia","Southern Asia","South Asia","Non-EU","Non-OECD","Low income",31856,NA,"Afghan afghani 2016","Year",NA,NA,NA,1484,27722282,"New 2019","High",12,"National statistical authority","European Union and the Central Statistics Organization of Afghanistan",NA,"Living Conditions Survey (LCS)","https://cso-of-afghanistan.shinyapps.io/ALCS_Dashboard/","Yes"
"2",2,"Afghanistan","AFG","AF",2012,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.11,23,9,14,17,22,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Asia","Southern Asia","South Asia","Non-EU","Non-OECD","Low income",32724,NA,"Afghan afghani 2016","Year",NA,NA,NA,2075,31161378,"New 2019","High",12,"National statistical authority","European Union and the Central Statistics Organization of Afghanistan",NA,"Living Conditions Survey (LCS)","https://cso-of-afghanistan.shinyapps.io/ALCS_Dashboard/","Yes"
"3",3,"Afghanistan","AFG","AF",2017,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,22,9,13,16,22,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Asia","Southern Asia","South Asia","Non-EU","Non-OECD","Low income",26792,NA,"Afghan afghani 2016","Year",NA,NA,NA,2058,36296108,"New 2019","High",12,"National statistical authority","European Union and the Central Statistics Organization of Afghanistan",NA,"Living Conditions Survey (LCS)","https://eeas.europa.eu/regions/asia/44072/results-afghanistan-living-conditions-survey-alcs-2016-17-released_en","Yes"
"4",4,"Albania","ALB","AL",1996,27.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,3.95,22.85,9.15,13.7,17.74,23.29,36.12,3.86,5.29,6.38,7.32,8.38,9.35,10.82,12.47,14.9,21.22,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Southern Europe","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",2399,2108,"US$2011PPP","Year",NA,NA,NA,5011,3098699,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"5",5,"Albania","ALB","AL",2002,31.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,4.83,20.93,8.35,12.58,16.49,22.21,40.37,3.49,4.86,5.84,6.74,7.65,8.84,10.23,11.98,14.93,25.44,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Southern Europe","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",2452,2023,"US$2011PPP","Year",NA,NA,NA,6895,3126183,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"6",6,"Albania","ALB","AL",2005,30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,4.66,21.3,8.4,12.9,17.02,22.5,39.17,3.48,4.92,5.98,6.92,7.99,9.04,10.37,12.13,14.83,24.34,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Southern Europe","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",2772,2359,"US$2011PPP","Year",NA,NA,NA,8208,3086810,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"7",7,"Albania","ALB","AL",2008,29.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,4.4,21.94,8.87,13.07,16.84,22.23,39,3.73,5.14,6.09,6.98,7.91,8.92,10.3,11.93,14.54,24.46,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Southern Europe","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",3034,2539,"US$2011PPP","Year",NA,NA,NA,10119,3002683,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"8",8,"Albania","ALB","AL",2012,28.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,4.27,22.02,8.85,13.17,17.34,22.81,37.82,3.66,5.19,6.14,7.03,8.08,9.26,10.52,12.29,14.89,22.93,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Southern Europe","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",2877,2491,"US$2011PPP","Year",NA,NA,NA,11462,2914091,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"9",9,"Albania","ALB","AL",2014,34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,5.93,18.56,7.03,11.53,16.44,23.31,41.67,2.85,4.17,5.22,6.31,7.51,8.93,10.59,12.72,16.13,25.54,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Southern Europe","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",3067,2508,"US$2011PPP","Year",NA,NA,NA,11828,2896307,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"10",10,"Albania","ALB","AL",2015,32.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,5.32,19.76,7.66,12.1,16.5,22.97,40.76,3.13,4.52,5.54,6.56,7.61,8.89,10.47,12.5,15.87,24.89,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Southern Europe","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",3102,2546,"US$2011PPP","Year",NA,NA,NA,12126,2890524,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
