"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1959","1959","AUD","Australian Dollar","6","Millions",,,16588,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1960","1960","AUD","Australian Dollar","6","Millions",,,17549,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1961","1961","AUD","Australian Dollar","6","Millions",,,17762,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1962","1962","AUD","Australian Dollar","6","Millions",,,19204,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1963","1963","AUD","Australian Dollar","6","Millions",,,21219,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1964","1964","AUD","Australian Dollar","6","Millions",,,23160,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1965","1965","AUD","Australian Dollar","6","Millions",,,24348,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1966","1966","AUD","Australian Dollar","6","Millions",,,27142,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1967","1967","AUD","Australian Dollar","6","Millions",,,29167,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1968","1968","AUD","Australian Dollar","6","Millions",,,32706,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1969","1969","AUD","Australian Dollar","6","Millions",,,36851,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1970","1970","AUD","Australian Dollar","6","Millions",,,40314,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1971","1971","AUD","Australian Dollar","6","Millions",,,44484,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1972","1972","AUD","Australian Dollar","6","Millions",,,49748,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1973","1973","AUD","Australian Dollar","6","Millions",,,60272,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1974","1974","AUD","Australian Dollar","6","Millions",,,71159,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1975","1975","AUD","Australian Dollar","6","Millions",,,83234,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1976","1976","AUD","Australian Dollar","6","Millions",,,96074,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1977","1977","AUD","Australian Dollar","6","Millions",,,104920,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1978","1978","AUD","Australian Dollar","6","Millions",,,118587,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1979","1979","AUD","Australian Dollar","6","Millions",,,134424,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1980","1980","AUD","Australian Dollar","6","Millions",,,152143,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1981","1981","AUD","Australian Dollar","6","Millions",,,175615,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1982","1982","AUD","Australian Dollar","6","Millions",,,189157,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1983","1983","AUD","Australian Dollar","6","Millions",,,213378,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1984","1984","AUD","Australian Dollar","6","Millions",,,234973,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1985","1985","AUD","Australian Dollar","6","Millions",,,260242,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1986","1986","AUD","Australian Dollar","6","Millions",,,285706,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1987","1987","AUD","Australian Dollar","6","Millions",,,323892,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1988","1988","AUD","Australian Dollar","6","Millions",,,367526,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1989","1989","AUD","Australian Dollar","6","Millions",,,403852,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1990","1990","AUD","Australian Dollar","6","Millions",,,414473,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1991","1991","AUD","Australian Dollar","6","Millions",,,422433,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1992","1992","AUD","Australian Dollar","6","Millions",,,443383,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1993","1993","AUD","Australian Dollar","6","Millions",,,465753,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1994","1994","AUD","Australian Dollar","6","Millions",,,494567,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1995","1995","AUD","Australian Dollar","6","Millions",,,527599,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1996","1996","AUD","Australian Dollar","6","Millions",,,555291,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1997","1997","AUD","Australian Dollar","6","Millions",,,588097,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1998","1998","AUD","Australian Dollar","6","Millions",,,620141,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1999","1999","AUD","Australian Dollar","6","Millions",,,661159,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2000","2000","AUD","Australian Dollar","6","Millions",,,705066,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2001","2001","AUD","Australian Dollar","6","Millions",,,754253,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2002","2002","AUD","Australian Dollar","6","Millions",,,800960,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2003","2003","AUD","Australian Dollar","6","Millions",,,861039,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2004","2004","AUD","Australian Dollar","6","Millions",,,922371,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2005","2005","AUD","Australian Dollar","6","Millions",,,996430,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2006","2006","AUD","Australian Dollar","6","Millions",,,1086593,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2007","2007","AUD","Australian Dollar","6","Millions",,,1177313,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2008","2008","AUD","Australian Dollar","6","Millions",,,1260145,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2009","2009","AUD","Australian Dollar","6","Millions",,,1301211,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2010","2010","AUD","Australian Dollar","6","Millions",,,1416622,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2011","2011","AUD","Australian Dollar","6","Millions",,,1499458,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,1536307,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,1598530,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2014","2014","AUD","Australian Dollar","6","Millions",,,1624392,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2015","2015","AUD","Australian Dollar","6","Millions",,,1662337,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2016","2016","AUD","Australian Dollar","6","Millions",,,1764512,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2017","2017","AUD","Australian Dollar","6","Millions",,,1847675,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1959","1959","AUD","Australian Dollar","6","Millions","2016","2016",254012,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1960","1960","AUD","Australian Dollar","6","Millions","2016","2016",260327,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1961","1961","AUD","Australian Dollar","6","Millions","2016","2016",263700,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1962","1962","AUD","Australian Dollar","6","Millions","2016","2016",280089,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1963","1963","AUD","Australian Dollar","6","Millions","2016","2016",299635,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1964","1964","AUD","Australian Dollar","6","Millions","2016","2016",317563,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1965","1965","AUD","Australian Dollar","6","Millions","2016","2016",325129,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1966","1966","AUD","Australian Dollar","6","Millions","2016","2016",345621,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1967","1967","AUD","Australian Dollar","6","Millions","2016","2016",363233,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1968","1968","AUD","Australian Dollar","6","Millions","2016","2016",388821,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1969","1969","AUD","Australian Dollar","6","Millions","2016","2016",416707,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1970","1970","AUD","Australian Dollar","6","Millions","2016","2016",433391,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1971","1971","AUD","Australian Dollar","6","Millions","2016","2016",450348,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1972","1972","AUD","Australian Dollar","6","Millions","2016","2016",462118,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1973","1973","AUD","Australian Dollar","6","Millions","2016","2016",481081,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1974","1974","AUD","Australian Dollar","6","Millions","2016","2016",487575,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1975","1975","AUD","Australian Dollar","6","Millions","2016","2016",500192,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1976","1976","AUD","Australian Dollar","6","Millions","2016","2016",518186,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1977","1977","AUD","Australian Dollar","6","Millions","2016","2016",522834,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1978","1978","AUD","Australian Dollar","6","Millions","2016","2016",543974,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1979","1979","AUD","Australian Dollar","6","Millions","2016","2016",560479,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1980","1980","AUD","Australian Dollar","6","Millions","2016","2016",579187,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1981","1981","AUD","Australian Dollar","6","Millions","2016","2016",598466,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1982","1982","AUD","Australian Dollar","6","Millions","2016","2016",585176,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1983","1983","AUD","Australian Dollar","6","Millions","2016","2016",611985,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1984","1984","AUD","Australian Dollar","6","Millions","2016","2016",644110,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1985","1985","AUD","Australian Dollar","6","Millions","2016","2016",670111,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1986","1986","AUD","Australian Dollar","6","Millions","2016","2016",687236,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1987","1987","AUD","Australian Dollar","6","Millions","2016","2016",726669,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1988","1988","AUD","Australian Dollar","6","Millions","2016","2016",754789,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1989","1989","AUD","Australian Dollar","6","Millions","2016","2016",781727,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1990","1990","AUD","Australian Dollar","6","Millions","2016","2016",778631,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1991","1991","AUD","Australian Dollar","6","Millions","2016","2016",781849,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1992","1992","AUD","Australian Dollar","6","Millions","2016","2016",813353,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1993","1993","AUD","Australian Dollar","6","Millions","2016","2016",845731,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1994","1994","AUD","Australian Dollar","6","Millions","2016","2016",878159,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1995","1995","AUD","Australian Dollar","6","Millions","2016","2016",912220,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1996","1996","AUD","Australian Dollar","6","Millions","2016","2016",948403,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1997","1997","AUD","Australian Dollar","6","Millions","2016","2016",991808,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1998","1998","AUD","Australian Dollar","6","Millions","2016","2016",1042129,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1999","1999","AUD","Australian Dollar","6","Millions","2016","2016",1083117,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2000","2000","AUD","Australian Dollar","6","Millions","2016","2016",1104030,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2001","2001","AUD","Australian Dollar","6","Millions","2016","2016",1148207,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2002","2002","AUD","Australian Dollar","6","Millions","2016","2016",1182492,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2003","2003","AUD","Australian Dollar","6","Millions","2016","2016",1230448,,
