"","Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","V65"
"1","Aruba","ABW","Net financial flows, IDA (NFL, current US$)","DT.NFL.MIDA.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"2","Afghanistan","AFG","Net financial flows, IDA (NFL, current US$)","DT.NFL.MIDA.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36957000,2.18727802070378e-316,2.14572709988853e-316,1.31712960524818e-316,4.13631758698292e-317,3.98414536806381e-317,4.64372300526188e-317,1.84187672769617e-317,NaN,NaN,NaN,NaN,NaN,NA,NA
"3","Angola","AGO","Net financial flows, IDA (NFL, current US$)","DT.NFL.MIDA.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5729000,9674000,33325000,30313000,37752000,27887000,35764000,38839000,23710000,10836000,17921000,1276000,12862000,25316000,12376000,1.48516133139879e-317,3.0365274593403e-317,6.65605238077327e-317,NaN,3.67535433941303e-317,1.79222313028912e-316,2.3123260356662e-316,1.98891066389852e-316,1.09751742567175e-316,1.29716935315619e-316,1.98629211597556e-316,NaN,NA,NA
"4","Albania","ALB","Net financial flows, IDA (NFL, current US$)","DT.NFL.MIDA.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2065000,25841000,34989000,43335000,32324000,18912000,63727000,80644000,64357000,34260000,78883000,59447000,64294000,29570000,40880000,2.11964043378812e-316,9.84771645290773e-317,1.26223891199522e-316,7.47224882770301e-317,5.9544791636787e-317,7.01474403965402e-317,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA
"5","Andorra","AND","Net financial flows, IDA (NFL, current US$)","DT.NFL.MIDA.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"6","Arab World","ARB","Net financial flows, IDA (NFL, current US$)","DT.NFL.MIDA.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"7","United Arab Emirates","ARE","Net financial flows, IDA (NFL, current US$)","DT.NFL.MIDA.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"8","Argentina","ARG","Net financial flows, IDA (NFL, current US$)","DT.NFL.MIDA.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"9","Armenia","ARM","Net financial flows, IDA (NFL, current US$)","DT.NFL.MIDA.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5458000,88498000,87010000,76490000,42883000,65660000,54354000,55026000,66467000,77386000,77751000,31387000,57699000,4.23883620849497e-316,3.39872698430652e-316,6.34691550617041e-316,1.00236038228272e-316,1.53832279489131e-316,2.31479636389541e-316,1.8405427504524e-316,NaN,NaN,NaN,NaN,NaN,NA,NA
"10","American Samoa","ASM","Net financial flows, IDA (NFL, current US$)","DT.NFL.MIDA.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
