"","coefficients.Estimate","coefficients.Std..Error","coefficients.Estimate","coefficients.Std..Error","coefficients.Estimate","coefficients.Std..Error"
"1","",NA,"-0.0701  ",0.0567809536217551,"",NA
"DV_VA_pc_lag1"," 0.0193  ",0.0219717497834447," 0.2043 ***",0.0364424679260546," 0.0176  ",0.0361698019818851
"IV_lending_pc","-0.0011  ",0.00124097840818219,"-0.0024 *",0.0011070297443892,"-0.0008  ",0.00122983226720595
"IV_lending_pc_lag1","-0.0017 .",0.000977013001336694,"-0.0020 *",0.000854177702226117,"-0.0016 .",0.000955842087417194
"IV_gov_exp_pc"," 0.3991 ***",0.112809280978588," 0.2662 **",0.0868488294308001," 0.1643  ",0.114652905032611
"IV_gov_exp_pc_lag1"," 0.0000  ",0.0000534955841660193," 0.0001 **",0.0000510236853616848," 0.0004 ***",0.000058764756478765
"IV_trade_balance_pc","-0.0003  ",0.00201250104711734," 0.0001  ",0.0016521981299987," 0.0025  ",0.00194609692474504
"IV_trade_balance_pc_lag1"," 0.0006  ",0.00205697475957528," 0.0006  ",0.00164842524794353," 0.0001  ",0.00199835210817039
"IV_fdi_net_pc"," 0.0000  ",0.00000226167965689464," 0.0000  ",0.00000198002151806317," 0.0000  ",0.00000221699787915731
"IV_fdi_net_pc_lag1"," 0.0000  ",0.0000022302237153495," 0.0000  ",0.00000196152991150553," 0.0000  ",0.0000021997002076362
"C_REER"," 0.0006  ",0.000565022015202983," 0.0009 **",0.000343039515170026," 0.0007  ",0.000533121201626366
"C_wgdp"," 0.0000  ",0.00000319192687249516," 0.0000  ",0.000000414807684722494," 0.0000 *",0.00000326645416740342
"C_cpi"," 0.0000  ",0.00229427732398403," 0.0089 ***",0.00179813135623753,"-0.0019  ",0.00271305963578818
"C_wgini"," 0.0001  ",0.00224430821050911," 0.0003  ",0.000725553862964485," 0.0019  ",0.00223367276999313
